subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10
zlib_ng_exp1,allfails-ten-Mutants,63.77,81.34,97.2,100.0
zlib_ng_exp1,ten-Mutants,55.58,77.1,96.75,100.0
zlib_ng_exp1,five-Mutants,55.84,77.45,96.75,100.0
zlib_ng_exp1,three-Mutants,53.81,76.54,96.56,100.0
zlib_ng_exp1,one-mutants,50.82,74.85,96.62,100.0
libxml2_exp1,allfails-ten-Mutants,83.25,91.3,93.75,97.67
libxml2_exp1,ten-Mutants,84.5,93.12,93.71,97.33
libxml2_exp1,five-Mutants,84.42,92.6,91.16,94.74
libxml2_exp1,three-Mutants,84.59,92.55,86.9,92.16
libxml2_exp1,one-mutants,85.11,93.03,80.22,89.96
opencv_features2d_exp1,allfails-ten-Mutants,80.69,91.52,83.71,94.83
opencv_features2d_exp1,ten-Mutants,75.11,88.44,79.96,88.23
opencv_features2d_exp1,five-Mutants,76.1,89.31,70.13,82.33
opencv_features2d_exp1,three-Mutants,75.45,89.13,65.13,81.03
opencv_features2d_exp1,one-mutants,72.38,87.49,54.74,75.13
opencv_imgproc_exp1,allfails-ten-Mutants,78.61,90.39,74.01,86.85
opencv_imgproc_exp1,ten-Mutants,49.22,74.24,47.84,72.76
opencv_imgproc_exp1,five-Mutants,49.0,73.77,44.01,66.21
opencv_imgproc_exp1,three-Mutants,49.18,73.77,41.38,62.93
opencv_imgproc_exp1,one-mutants,47.92,73.2,40.04,62.54
opencv_core_exp1,allfails-ten-Mutants,79.74,91.26,61.64,68.19
opencv_core_exp1,ten-Mutants,84.2,93.94,65.26,71.29
opencv_core_exp1,five-Mutants,76.8,89.35,60.13,67.28
opencv_core_exp1,three-Mutants,82.42,92.6,56.12,62.72
opencv_core_exp1,one-mutants,73.51,88.61,48.32,57.46
jsoncpp_exp1,allfails-ten-Mutants,81.99,91.86,94.83,99.78
jsoncpp_exp1,ten-Mutants,87.01,95.06,95.56,100.0
jsoncpp_exp1,five-Mutants,87.06,94.72,93.45,99.35
jsoncpp_exp1,three-Mutants,85.71,93.98,89.78,99.27
jsoncpp_exp1,one-mutants,83.2,92.68,86.08,96.47
