subject,method_name,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff
zlib_ng_exp1,allfails-ten-Mutants,96.82,100.0,100.0,100.0,0.91,0.0
zlib_ng_exp1,ten-Mutants,91.72,91.72,91.72,91.72,0.17,-80.99
zlib_ng_exp1,five-Mutants,91.08,91.72,91.72,91.72,0.1,-88.75
zlib_ng_exp1,three-Mutants,91.08,91.72,91.72,91.72,0.06,-93.22
zlib_ng_exp1,one-mutants,91.08,91.72,91.08,91.72,0.02,-97.74
libxml2_exp1,allfails-ten-Mutants,75.86,78.02,73.71,77.59,18.34,0.0
libxml2_exp1,ten-Mutants,77.59,80.6,78.88,84.05,3.54,-80.72
libxml2_exp1,five-Mutants,71.55,74.14,69.4,75.0,2.01,-89.05
libxml2_exp1,three-Mutants,66.38,69.83,63.36,68.53,1.22,-93.34
libxml2_exp1,one-mutants,45.69,50.43,45.69,50.0,0.41,-97.77
opencv_features2d_exp1,allfails-ten-Mutants,62.07,78.88,73.71,88.36,13.79,0.0
opencv_features2d_exp1,ten-Mutants,67.67,81.47,75.0,83.19,2.79,-79.79
opencv_features2d_exp1,five-Mutants,65.09,79.31,70.26,80.17,1.56,-88.7
opencv_features2d_exp1,three-Mutants,62.07,77.59,65.52,78.45,0.94,-93.15
opencv_features2d_exp1,one-mutants,53.88,71.55,55.17,71.55,0.32,-97.71
opencv_imgproc_exp1,allfails-ten-Mutants,64.66,71.55,67.67,73.71,7.47,0.0
opencv_imgproc_exp1,ten-Mutants,52.16,68.53,53.88,69.83,1.49,-80.11
opencv_imgproc_exp1,five-Mutants,48.71,65.95,51.29,67.67,0.83,-88.84
opencv_imgproc_exp1,three-Mutants,46.12,64.22,48.28,66.38,0.51,-93.14
opencv_imgproc_exp1,one-mutants,42.67,63.36,43.53,65.52,0.17,-97.69
opencv_core_exp1,allfails-ten-Mutants,71.55,72.41,68.97,71.98,46.98,0.0
opencv_core_exp1,ten-Mutants,66.81,71.55,70.26,73.71,9.67,-79.41
opencv_core_exp1,five-Mutants,58.19,65.52,62.07,68.53,5.72,-87.82
opencv_core_exp1,three-Mutants,50.0,59.48,52.16,63.36,3.59,-92.35
opencv_core_exp1,one-mutants,33.19,40.95,32.76,41.38,1.22,-97.4
jsoncpp_exp1,allfails-ten-Mutants,68.97,70.26,71.98,84.05,1.71,0.0
jsoncpp_exp1,ten-Mutants,69.83,75.43,92.24,98.71,0.36,-78.9
jsoncpp_exp1,five-Mutants,62.07,69.4,87.07,96.98,0.23,-86.62
jsoncpp_exp1,three-Mutants,51.29,59.91,77.16,96.55,0.15,-91.39
jsoncpp_exp1,one-mutants,32.76,41.38,46.55,76.72,0.05,-97.03
