buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs,#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_funcs_executed_by_failing_TCs,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
matrix.MUT256.cpp,2,5120,0,0,0,5122,2008,6900,0,7098,9325,0.7611796246648793,0.7611796246648793,0,0,222,222,2008,0,0,913,27
umatrix.MUT344.cpp,389,4745,0,0,0,5134,679,7414,0,7426,9326,0.7962684966759597,0.7962684966759597,0,0,89,89,679,0,0,913,27
dxt.MUT883.cpp,3,5131,0,0,0,5134,1565,6794,0,7427,9326,0.7963757237829724,0.7963757237829724,0,0,128,128,1565,0,0,913,27
matrix_expressions.MUT298.cpp,333,4744,0,0,57,5134,855,7408,868,7434,9321,0.7975539105246218,0.7974466258985088,0,0,112,112,855,0,0,912,27
matrix_iterator.MUT63.cpp,1,4973,0,0,160,5134,1346,6988,3026,7414,9326,0.7949817713918078,0.7944456358567445,0,0,212,212,1346,0,0,913,27
persistence_base64_encoding.MUT71.cpp,3,5127,0,0,4,5134,2367,7209,2477,7441,9326,0.7978769032811495,0.7966974051040103,0,0,242,242,2367,0,0,913,27
persistence_json.MUT140.cpp,2,5132,0,0,0,5134,2688,7169,0,7420,9326,0.7956251340338838,0.7956251340338838,0,0,262,262,2688,0,0,913,27
matrix.MUT168.cpp,14,3071,0,0,0,3085,2741,4649,0,5253,9326,0.5632639931374651,0.5632639931374651,0,0,303,303,2741,0,0,913,27
dxt.MUT322.cpp,2,5130,0,0,2,5134,1388,6231,1323,7340,9326,0.7870469654728716,0.7613124597898349,0,0,116,116,1388,0,0,913,27
persistence.MUT934.cpp,3,5091,0,0,40,5134,210,6576,3341,7441,9326,0.7978769032811495,0.7054471370362427,0,0,40,40,210,0,0,913,27
rand.MUT152.cpp,2,3034,0,0,2094,5130,299,6138,5850,7341,9322,0.7874919545161982,0.6596223986269041,0,0,52,52,299,0,0,913,27
dxt.MUT138.cpp,1,5131,0,0,2,5134,1338,6794,1306,7399,9326,0.793373364786618,0.7895131889341626,0,0,102,102,1338,0,0,913,27
persistence.MUT724.cpp,39,5094,0,0,1,5134,2247,5593,353,6404,9326,0.6866823933090285,0.6866823933090285,0,0,248,248,2247,0,0,913,27
matrix.MUT282.cpp,3637,1048,0,0,22,4707,1737,3731,483,4378,9317,0.46989374262101535,0.46742513684662446,0,0,226,226,1737,0,0,913,27
matrix_expressions.MUT314.cpp,1,4904,0,0,229,5134,975,6915,560,7234,9326,0.7756808921295304,0.7686039030666952,0,0,149,149,975,0,0,913,27
dxt.MUT875.cpp,2,5131,0,0,1,5134,1052,6794,1398,7441,9326,0.7978769032811495,0.7665665880334549,0,0,108,108,1052,0,0,913,27
dxt.MUT568.cpp,4,5130,0,0,0,5134,1634,6231,0,7327,9314,0.7866652351299119,0.7866652351299119,0,0,135,135,1634,0,0,913,27
umatrix.MUT362.cpp,196,4938,0,0,0,5134,705,7429,0,7441,9326,0.7978769032811495,0.7978769032811495,0,0,92,92,705,0,0,913,27
matrix.MUT547.cpp,1,5129,0,0,4,5134,335,7399,511,7441,9326,0.7978769032811495,0.7939095003216813,0,0,55,55,335,0,0,913,27
downhill_simplex.MUT135.cpp,1,5133,0,0,0,5134,520,7319,0,7441,9326,0.7978769032811495,0.7978769032811495,0,0,74,74,520,0,0,913,27
persistence_types.MUT75.cpp,1,5133,0,0,0,5134,1857,7188,0,7282,9326,0.7808277932661377,0.7808277932661377,0,0,207,207,1857,0,0,913,27
dxt.MUT34.cpp,1,5131,0,0,2,5134,1194,6794,1306,7385,9326,0.7918721852884409,0.7821145185502895,0,0,98,98,1194,0,0,913,27
matrix_expressions.MUT238.cpp,1,5133,0,0,0,5134,697,7003,0,7062,9326,0.7572378297233541,0.7572378297233541,0,0,100,100,697,0,0,913,27
persistence_yml.MUT329.cpp,8,5126,0,0,0,5134,2549,7153,0,7264,9326,0.7788977053399099,0.7788977053399099,0,0,272,272,2549,0,0,913,27
persistence.MUT1174.cpp,1,5129,0,0,0,5130,1923,7155,0,7310,9326,0.783830152262492,0.783830152262492,0,0,209,209,1923,0,0,913,27
matrix.MUT11.cpp,109,5025,0,0,0,5134,988,7421,0,7434,9326,0.7971263135320609,0.7971263135320609,0,0,122,122,988,0,0,913,27
persistence_xml.MUT314.cpp,7,5114,0,0,13,5134,3025,6885,2509,7385,9329,0.7916175367134741,0.7850787865794834,0,0,305,305,3025,0,0,913,27
lpsolver.MUT60.cpp,1,5133,0,0,0,5134,587,7415,0,7438,9326,0.7975552219601115,0.7975552219601115,0,0,79,79,587,0,0,913,27
persistence.MUT53.cpp,2,5129,0,0,3,5134,2669,7146,1948,7400,9326,0.7934805918936307,0.7924083208235042,0,0,269,269,2669,0,0,913,27
mean.dispatch.MUT13.cpp,1,5133,0,0,0,5134,367,7411,0,7440,9326,0.7977696761741369,0.7977696761741369,0,0,57,57,367,0,0,913,27
dxt.MUT1307.cpp,1,5133,0,0,0,5134,821,7275,0,7408,9326,0.7943384087497319,0.7943384087497319,0,0,79,79,821,0,0,913,27
persistence.MUT384.cpp,39,5091,0,0,4,5134,1932,5571,233,6089,9326,0.6529058546000429,0.6529058546000429,0,0,211,211,1932,0,0,913,27
rand.MUT216.cpp,8,4841,0,0,285,5134,1265,6468,5136,7440,9326,0.7977696761741369,0.6965472871541926,0,0,132,132,1265,0,0,913,27
persistence_xml.MUT193.cpp,2,5114,0,0,0,5116,2410,6885,0,7316,9327,0.7843894070976735,0.7843894070976735,0,0,248,248,2410,0,0,913,27
persistence_xml.MUT305.cpp,11,5122,0,0,1,5134,3193,7048,1268,7395,9326,0.7929444563585675,0.7929444563585675,0,0,311,311,3193,0,0,913,27
matrix_iterator.MUT179.cpp,3,5131,0,0,0,5134,1323,6870,0,7032,9326,0.7540210165129745,0.7540210165129745,0,0,162,162,1323,0,0,913,27
matrix.MUT2.cpp,24,1049,0,0,0,1073,3448,3744,0,5200,9326,0.5575809564657945,0.5575809564657945,0,0,352,352,3448,0,0,913,27
dxt.MUT1030.cpp,2,5131,0,0,1,5134,1036,6794,1382,7425,9326,0.7961612695689471,0.7648509543212524,0,0,106,106,1036,0,0,913,27
persistence.MUT1186.cpp,1,5133,0,0,0,5134,2350,7188,0,7402,9326,0.7936950461076561,0.7936950461076561,0,0,240,240,2350,0,0,913,27
dxt.MUT733.cpp,2,5132,0,0,0,5134,1453,7108,0,7364,9326,0.7896204160411752,0.7896204160411752,0,0,119,119,1453,0,0,913,27
matrix.MUT532.cpp,1,5133,0,0,0,5134,1553,7003,0,7442,9326,0.7979841303881622,0.7979841303881622,0,0,238,238,1553,0,0,913,27
dxt.MUT749.cpp,1,5133,0,0,0,5134,1386,7270,0,7410,9326,0.7945528629637573,0.7945528629637573,0,0,110,110,1386,0,0,913,27
dxt.MUT1047.cpp,2,5131,0,0,1,5134,1161,6794,1299,7350,9326,0.7881192365429981,0.7750375294874544,0,0,101,101,1161,0,0,913,27
dxt.MUT609.cpp,1,5133,0,0,0,5134,1325,7270,0,7390,9326,0.7924083208235042,0.7924083208235042,0,0,106,106,1325,0,0,913,27
persistence.MUT1136.cpp,29,5096,0,0,8,5133,2958,6078,1626,7144,9326,0.7660304524983916,0.7645292730002144,0,0,295,295,2958,0,0,913,27
dxt.MUT110.cpp,3,5130,0,0,1,5134,1649,6231,1066,7346,9326,0.7876903281149474,0.7872614196868969,0,0,135,135,1649,0,0,913,27
persistence.MUT771.cpp,18,5095,0,0,15,5128,3015,5819,2208,7259,9326,0.7783615698048467,0.7666738151404675,0,0,304,304,3015,0,0,913,27
dxt.MUT1466.cpp,1,5133,0,0,0,5134,554,7275,0,7370,9325,0.7903485254691689,0.7903485254691689,0,0,68,68,554,0,0,913,27
dxt.MUT488.cpp,3,5130,0,0,1,5134,1694,6231,1066,7390,9326,0.7924083208235042,0.7920866395024663,0,0,137,137,1694,0,0,913,27
persistence.MUT1302.cpp,10,5124,0,0,0,5134,2153,7390,0,7441,9326,0.7978769032811495,0.7978769032811495,0,0,235,235,2153,0,0,913,27
persistence_yml.MUT166.cpp,18,5114,0,0,2,5134,2701,6894,646,7059,9326,0.7569161484023161,0.7547716062620631,0,0,294,294,2701,0,0,913,27
umatrix.MUT138.cpp,1404,3432,0,0,298,5134,1029,7320,976,7402,9326,0.7936950461076561,0.7934805918936307,0,0,125,125,1029,0,0,913,27
matrix_expressions.MUT358.cpp,1,5132,0,0,1,5134,1010,6991,356,7253,9326,0.7777182071627707,0.7770748445206949,0,0,155,155,1010,0,0,913,27
matrix_sparse.MUT228.cpp,1,5133,0,0,0,5134,931,7256,0,7437,9326,0.7974479948530989,0.7974479948530989,0,0,113,113,931,0,0,913,27
persistence.MUT922.cpp,15,5110,0,0,9,5134,1435,7045,1504,7124,9326,0.7638859103581386,0.7608835513617842,0,0,166,166,1435,0,0,913,27
persistence_types.MUT4.cpp,14,5119,0,0,1,5134,2904,7094,1298,7267,9326,0.7792193866609479,0.7792193866609479,0,0,289,289,2904,0,0,913,27
matrix_expressions.MUT387.cpp,1,5133,0,0,0,5134,1307,7003,0,7414,9326,0.7949817713918078,0.7949817713918078,0,0,205,205,1307,0,0,913,27
matrix.MUT5.cpp,76,5025,0,0,33,5134,1035,7421,931,7431,9315,0.7977455716586151,0.7977455716586151,0,0,129,129,1035,0,0,913,27
dxt.MUT588.cpp,1,5133,0,0,0,5134,1268,7270,0,7388,9326,0.7921938666094789,0.7921938666094789,0,0,102,102,1268,0,0,913,27
dxt.MUT312.cpp,2,5131,0,0,1,5134,1556,6794,1066,7417,9326,0.7953034527128459,0.7950889984988205,0,0,128,128,1556,0,0,913,27
dxt.MUT167.cpp,2,5130,0,0,2,5134,1484,6231,1306,7404,9326,0.7939095003216813,0.7867252841518336,0,0,113,113,1484,0,0,913,27
persistence_base64_encoding.MUT130.cpp,7,5127,0,0,0,5134,1738,7209,0,7374,9326,0.7906926871113017,0.7906926871113017,0,0,204,204,1738,0,0,913,27
persistence.MUT966.cpp,2,5096,0,0,0,5098,1676,6078,0,6405,9326,0.6867896204160412,0.6867896204160412,0,0,187,187,1676,0,0,913,27
dxt.MUT592.cpp,2,5132,0,0,0,5134,1376,7018,0,7269,9267,0.7843962447393978,0.7843962447393978,0,0,113,113,1376,0,0,913,27
umatrix.MUT236.cpp,144,4985,0,0,4,5133,903,7393,883,7433,9323,0.7972755550788373,0.7972755550788373,0,0,115,115,903,0,0,913,27
dxt.MUT242.cpp,2,5131,0,0,1,5134,1526,6794,1066,7399,9326,0.793373364786618,0.7929444563585675,0,0,122,122,1526,0,0,913,27
persistence_yml.MUT78.cpp,11,5113,0,0,10,5134,2430,6991,2152,7179,9326,0.7697834012438345,0.7657087711773536,0,0,273,273,2430,0,0,913,27
matrix_decomp.MUT32.cpp,3,5124,0,0,7,5134,1273,6990,603,7381,9326,0.7914432768603903,0.7914432768603903,0,0,200,200,1273,0,0,913,27
umatrix.MUT248.cpp,493,4597,0,0,44,5134,948,7408,1159,7440,9326,0.7977696761741369,0.7977696761741369,0,0,130,130,948,0,0,913,27
persistence.MUT573.cpp,3,5131,0,0,0,5134,1942,7430,0,7440,9326,0.7977696761741369,0.7977696761741369,0,0,208,208,1942,0,0,913,27
rand.MUT83.cpp,1,5130,0,0,3,5134,618,7352,641,7441,9326,0.7978769032811495,0.7951962256058331,0,0,87,87,618,0,0,913,27
matrix_sparse.MUT246.cpp,3,5131,0,0,0,5134,891,6870,0,6985,9326,0.7489813424833798,0.7489813424833798,0,0,110,110,891,0,0,913,27
matrix.MUT139.cpp,1566,2561,0,0,1007,5134,3055,7125,1226,7438,9326,0.7975552219601115,0.7930516834655801,0,0,311,311,3055,0,0,913,27
persistence_yml.MUT156.cpp,14,5114,0,0,6,5134,2809,6894,1167,7210,9326,0.7731074415612267,0.7669954964615054,0,0,295,295,2809,0,0,913,27
dxt.MUT540.cpp,1,5131,0,0,2,5134,1379,6794,1307,7403,9326,0.7938022732146687,0.7932661376796054,0,0,110,110,1379,0,0,913,27
persistence_types.MUT62.cpp,11,5115,0,0,8,5134,2913,7025,2139,7270,9326,0.7795410679819859,0.7761098005575809,0,0,289,289,2913,0,0,913,27
rand.MUT218.cpp,14,4755,0,0,365,5134,3610,6901,4506,7333,9326,0.786296375723783,0.7545571520480377,0,0,351,351,3610,0,0,913,27
dxt.MUT136.cpp,2,5131,0,0,1,5134,1449,6794,1066,7366,9326,0.7898348702552005,0.7869397383658588,0,0,119,119,1449,0,0,913,27
matrix.MUT316.cpp,43,5044,0,0,47,5134,898,6858,994,6979,9326,0.7483379798413039,0.7482307527342912,0,0,117,117,898,0,0,913,27
dxt.MUT1107.cpp,1,5133,0,0,0,5134,1386,7270,0,7410,9326,0.7945528629637573,0.7945528629637573,0,0,110,110,1386,0,0,913,27
persistence_xml.MUT13.cpp,17,5114,0,0,3,5134,3034,6991,396,7339,9326,0.7869397383658588,0.7869397383658588,0,0,311,311,3034,0,0,913,27
persistence_yml.MUT107.cpp,21,5113,0,0,0,5134,2686,6991,0,7110,9326,0.7623847308599614,0.7623847308599614,0,0,300,300,2686,0,0,913,27
split.dispatch.MUT47.cpp,3,5131,0,0,0,5134,1484,6968,0,7391,9326,0.7925155479305168,0.7925155479305168,0,0,227,227,1484,0,0,913,27
matrix.MUT47.cpp,1,4736,0,0,0,4737,823,7406,0,7433,9326,0.7970190864250483,0.7970190864250483,0,0,103,103,823,0,0,913,27
umatrix.MUT293.cpp,5,5109,0,0,16,5130,841,7437,867,7441,9326,0.7978769032811495,0.7978769032811495,0,0,103,103,841,0,0,913,27
persistence_json.MUT353.cpp,13,5121,0,0,0,5134,3266,6907,0,7395,9325,0.793029490616622,0.793029490616622,0,0,323,323,3266,0,0,913,27
persistence_yml.MUT86.cpp,2,5113,0,0,0,5115,761,6991,0,7034,9326,0.7542354707269998,0.7542354707269998,0,0,100,100,761,0,0,913,27
matrix.MUT136.cpp,21,5091,0,0,0,5112,664,6903,0,6911,9326,0.7410465365644435,0.7410465365644435,0,0,103,103,664,0,0,913,27
persistence_yml.MUT21.cpp,11,5121,0,0,2,5134,2802,7091,1354,7249,9326,0.7772892987347202,0.7771820716277075,0,0,294,294,2802,0,0,913,27
dxt.MUT218.cpp,3,5131,0,0,0,5134,1449,6794,0,7339,9326,0.7869397383658588,0.7869397383658588,0,0,119,119,1449,0,0,913,27
persistence.MUT482.cpp,16,5108,0,0,10,5134,2957,6596,1992,7237,9326,0.7760025734505683,0.7746086210594039,0,0,304,304,2957,0,0,913,27
dxt.MUT238.cpp,2,5131,0,0,1,5134,1526,6794,1066,7399,9326,0.793373364786618,0.7929444563585675,0,0,122,122,1526,0,0,913,27
