subject,method,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration
zlib_ng_TF_top30,allfails-maxMutants-excludeCCT,98.1,99.37,99.37,100.0,1.47
zlib_ng_TF_top30,sbflnaish250-maxMutants-excludeCCT,97.47,98.73,98.73,98.73,0.73
zlib_ng_TF_top30,sbflnaish230-maxMutants-excludeCCT,96.2,96.2,96.2,96.2,0.42
zlib_ng_TF_top30,sbflnaish210-maxMutants-excludeCCT,92.41,92.41,92.41,92.41,0.14
zlib_ng_TF_top30,sbflnaish201-maxMutants-excludeCCT,84.18,84.18,84.18,84.18,0.03
zlib_ng_TF_top30,sbflnaish200-maxMutants-excludeCCT,0.0,0.0,0.0,0.0,0.0
libxml2_TF_top30,allfails-maxMutants-excludeCCT,75.0,76.69,71.19,76.27,27.56
libxml2_TF_top30,sbflnaish250-maxMutants-excludeCCT,75.42,77.97,72.88,78.81,13.98
libxml2_TF_top30,sbflnaish230-maxMutants-excludeCCT,75.85,78.81,74.15,81.78,8.4
libxml2_TF_top30,sbflnaish210-maxMutants-excludeCCT,76.69,82.63,82.63,94.07,2.66
libxml2_TF_top30,sbflnaish201-maxMutants-excludeCCT,78.39,88.56,79.66,89.41,0.25
libxml2_TF_top30,sbflnaish200-maxMutants-excludeCCT,0.0,0.0,0.0,0.0,0.0
opencv_features2d_TF_top30,allfails-maxMutants-excludeCCT,60.83,82.08,78.33,90.0,12.76
opencv_features2d_TF_top30,sbflnaish250-maxMutants-excludeCCT,61.25,84.17,72.5,89.17,6.41
opencv_features2d_TF_top30,sbflnaish230-maxMutants-excludeCCT,64.17,82.92,71.67,86.25,3.83
opencv_features2d_TF_top30,sbflnaish210-maxMutants-excludeCCT,64.58,78.75,66.25,78.75,1.28
opencv_features2d_TF_top30,sbflnaish201-maxMutants-excludeCCT,50.0,52.92,51.25,54.17,0.12
opencv_features2d_TF_top30,sbflnaish200-maxMutants-excludeCCT,0.0,0.0,0.0,0.0,0.0
opencv_imgproc_TF_top30,allfails-maxMutants-excludeCCT,71.55,79.31,73.71,81.03,9.03
opencv_imgproc_TF_top30,sbflnaish250-maxMutants-excludeCCT,66.81,75.86,69.83,77.59,4.51
opencv_imgproc_TF_top30,sbflnaish230-maxMutants-excludeCCT,64.66,71.12,65.95,72.84,2.66
opencv_imgproc_TF_top30,sbflnaish210-maxMutants-excludeCCT,54.74,80.17,55.6,79.74,0.86
opencv_imgproc_TF_top30,sbflnaish201-maxMutants-excludeCCT,38.36,38.36,38.36,38.36,0.08
opencv_imgproc_TF_top30,sbflnaish200-maxMutants-excludeCCT,0.0,0.0,0.0,0.0,0.0
opencv_core_TF_top30,allfails-maxMutants-excludeCCT,68.97,69.4,64.66,69.4,66.62
opencv_core_TF_top30,sbflnaish250-maxMutants-excludeCCT,69.4,70.69,68.53,75.86,33.47
opencv_core_TF_top30,sbflnaish230-maxMutants-excludeCCT,68.53,69.4,69.83,76.29,19.83
opencv_core_TF_top30,sbflnaish210-maxMutants-excludeCCT,60.78,64.66,64.22,68.53,6.46
opencv_core_TF_top30,sbflnaish201-maxMutants-excludeCCT,52.59,61.21,52.59,61.21,0.6
opencv_core_TF_top30,sbflnaish200-maxMutants-excludeCCT,0.0,0.0,0.0,0.0,0.0
jsoncpp_TF_top30,allfails-maxMutants-excludeCCT,68.1,69.4,69.4,81.9,2.33
jsoncpp_TF_top30,sbflnaish250-maxMutants-excludeCCT,67.67,68.97,77.59,91.38,1.16
jsoncpp_TF_top30,sbflnaish230-maxMutants-excludeCCT,67.67,68.1,83.19,94.83,0.68
jsoncpp_TF_top30,sbflnaish210-maxMutants-excludeCCT,70.69,88.36,89.22,96.98,0.22
jsoncpp_TF_top30,sbflnaish201-maxMutants-excludeCCT,75.0,75.0,75.0,75.0,0.02
jsoncpp_TF_top30,sbflnaish200-maxMutants-excludeCCT,0.0,0.0,0.0,0.0,0.0
