subject,method,test_acc5,test_acc10,self_acc5,self_acc10
zlib_ng_TF_top30,allfails-maxMutants-excludeCCT,0.651082251082251,0.8233766233766234,0.9911392405063293,1.0
zlib_ng_TF_top30,sbflnaish250-maxMutants-excludeCCT,0.5891774891774892,0.7939393939393941,0.9873417721518987,1.0
zlib_ng_TF_top30,sbflnaish230-maxMutants-excludeCCT,0.5619047619047619,0.7878787878787878,0.9867088607594937,1.0
zlib_ng_TF_top30,sbflnaish210-maxMutants-excludeCCT,0.5935064935064935,0.8147186147186147,0.9867088607594937,1.0
zlib_ng_TF_top30,sbflnaish201-maxMutants-excludeCCT,0.5290043290043289,0.7636363636363637,0.9873417721518987,1.0
zlib_ng_TF_top30,sbflnaish200-maxMutants-excludeCCT,0.4800865800865801,0.7346320346320347,0.9854430379746836,1.0
libxml2_TF_top30,allfails-maxMutants-excludeCCT,0.8458874458874458,0.9229437229437231,0.9389830508474578,0.9843220338983052
libxml2_TF_top30,sbflnaish250-maxMutants-excludeCCT,0.8528138528138527,0.9307359307359307,0.9398305084745765,0.9855932203389829
libxml2_TF_top30,sbflnaish230-maxMutants-excludeCCT,0.8515151515151516,0.9290043290043292,0.9394067796610169,0.984322033898305
libxml2_TF_top30,sbflnaish210-maxMutants-excludeCCT,0.8675324675324674,0.9424242424242426,0.9402542372881358,0.9872881355932203
libxml2_TF_top30,sbflnaish201-maxMutants-excludeCCT,0.6216450216450216,0.8268398268398268,0.8423728813559321,0.9216101694915254
libxml2_TF_top30,sbflnaish200-maxMutants-excludeCCT,0.35108225108225105,0.6467532467532469,0.7033898305084747,0.8516949152542372
opencv_features2d_TF_top30,allfails-maxMutants-excludeCCT,0.8004329004329003,0.906926406926407,0.8495833333333334,0.9508333333333333
opencv_features2d_TF_top30,sbflnaish250-maxMutants-excludeCCT,0.783982683982684,0.8969696969696969,0.825,0.9400000000000001
opencv_features2d_TF_top30,sbflnaish230-maxMutants-excludeCCT,0.7813852813852814,0.9021645021645023,0.7908333333333333,0.9075000000000001
opencv_features2d_TF_top30,sbflnaish210-maxMutants-excludeCCT,0.6437229437229437,0.8272727272727274,0.76875,0.9112500000000001
opencv_features2d_TF_top30,sbflnaish201-maxMutants-excludeCCT,0.44112554112554114,0.7142857142857143,0.46583333333333343,0.7291666666666667
opencv_features2d_TF_top30,sbflnaish200-maxMutants-excludeCCT,0.42597402597402595,0.6987012987012987,0.23375000000000004,0.6245833333333334
opencv_imgproc_TF_top30,allfails-maxMutants-excludeCCT,0.8047619047619048,0.9138528138528139,0.7918103448275863,0.909051724137931
opencv_imgproc_TF_top30,sbflnaish250-maxMutants-excludeCCT,0.6341991341991342,0.8303030303030303,0.6681034482758621,0.8362068965517242
opencv_imgproc_TF_top30,sbflnaish230-maxMutants-excludeCCT,0.6207792207792208,0.8168831168831169,0.6556034482758621,0.8357758620689655
opencv_imgproc_TF_top30,sbflnaish210-maxMutants-excludeCCT,0.43636363636363634,0.6995670995670996,0.47112068965517234,0.6676724137931034
opencv_imgproc_TF_top30,sbflnaish201-maxMutants-excludeCCT,0.3415584415584416,0.6303030303030304,0.36206896551724144,0.5241379310344827
opencv_imgproc_TF_top30,sbflnaish200-maxMutants-excludeCCT,0.33333333333333337,0.6194805194805195,0.36034482758620695,0.5168103448275863
opencv_core_TF_top30,allfails-maxMutants-excludeCCT,0.8307359307359306,0.9268398268398268,0.5969827586206897,0.6715517241379312
opencv_core_TF_top30,sbflnaish250-maxMutants-excludeCCT,0.7865800865800865,0.8978354978354979,0.5987068965517242,0.6594827586206897
opencv_core_TF_top30,sbflnaish230-maxMutants-excludeCCT,0.8415584415584416,0.9320346320346321,0.6698275862068965,0.7318965517241378
opencv_core_TF_top30,sbflnaish210-maxMutants-excludeCCT,0.7982683982683982,0.9086580086580087,0.5357758620689655,0.6211206896551724
opencv_core_TF_top30,sbflnaish201-maxMutants-excludeCCT,0.5861471861471862,0.8012987012987013,0.384051724137931,0.4926724137931034
opencv_core_TF_top30,sbflnaish200-maxMutants-excludeCCT,0.4714285714285714,0.7290043290043291,0.36594827586206896,0.4568965517241378
jsoncpp_TF_top30,allfails-maxMutants-excludeCCT,0.8112554112554113,0.9043290043290044,0.9439655172413793,0.988793103448276
jsoncpp_TF_top30,sbflnaish250-maxMutants-excludeCCT,0.8246753246753247,0.9142857142857143,0.9543103448275863,0.9905172413793103
jsoncpp_TF_top30,sbflnaish230-maxMutants-excludeCCT,0.8670995670995671,0.9424242424242424,0.9564655172413794,0.9922413793103448
jsoncpp_TF_top30,sbflnaish210-maxMutants-excludeCCT,0.8571428571428573,0.945887445887446,0.9435344827586208,0.9857758620689656
jsoncpp_TF_top30,sbflnaish201-maxMutants-excludeCCT,0.6536796536796536,0.8303030303030303,0.8293103448275861,0.9387931034482759
jsoncpp_TF_top30,sbflnaish200-maxMutants-excludeCCT,0.37965367965367963,0.6653679653679654,0.7818965517241379,0.9314655172413794
