buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs,#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_funcs_executed_by_failing_TCs,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
fundam.MUT357.cpp,1,156,0,0,1,158,340,10721,2692,11060,12298,0.8993332249146203,0.8861603512766304,0,0,19,19,340,0,0,590,26
fundam.MUT160.cpp,1,154,0,0,3,158,331,10354,355,10356,12277,0.8435285493198664,0.8435285493198664,0,0,20,20,331,0,0,589,26
circlesgrid.MUT470.cpp,3,153,0,0,2,158,149,10588,148,10704,12298,0.8703854285249634,0.8702228004553586,0,0,14,14,149,0,0,590,26
calibration.MUT32.cpp,2,155,0,0,1,158,1744,10250,2692,11045,12298,0.8981135143925841,0.8815254512928932,0,0,48,48,1744,0,0,590,26
ippe.MUT228.cpp,3,153,0,0,2,158,2310,10434,1895,11054,12298,0.8988453407058058,0.8961619775573264,0,0,91,91,2310,0,0,590,26
calibinit.MUT602.cpp,4,153,0,0,1,158,870,9532,605,10234,12287,0.832912834703345,0.832912834703345,0,0,34,34,870,0,0,590,26
calibration.MUT646.cpp,20,138,0,0,0,158,2124,9222,0,9633,12298,0.7832980972515856,0.7832980972515856,0,0,87,87,2124,0,0,590,26
ippe.MUT243.cpp,4,154,0,0,0,158,2233,10908,0,11045,12297,0.8981865495649345,0.8981865495649345,0,0,86,86,2233,0,0,590,26
calibration.MUT973.cpp,1,157,0,0,0,158,931,11058,0,11116,12298,0.903886810863555,0.903886810863555,0,0,20,20,931,0,0,590,26
circlesgrid.MUT3.cpp,1,156,0,0,1,158,346,10878,222,11021,12298,0.8961619775573264,0.8947796389656855,0,0,21,21,346,0,0,590,26
calibration_handeye.MUT46.cpp,3,154,0,0,1,158,489,10639,443,11046,12298,0.8981948284273865,0.8981948284273865,0,0,19,19,489,0,0,590,26
circlesgrid.MUT281.cpp,1,156,0,0,1,158,751,10904,676,11045,12298,0.8981135143925841,0.8981135143925841,0,0,61,61,751,0,0,590,26
fisheye.MUT664.cpp,8,150,0,0,0,158,219,10437,0,10610,12298,0.8627419092535371,0.8627419092535371,0,0,10,10,219,0,0,590,26
local_optimization.MUT42.cpp,3,152,0,0,0,155,360,10867,0,10939,12298,0.8894942267035291,0.8894942267035291,0,0,34,34,360,0,0,590,26
calibration.MUT342.cpp,7,150,0,0,0,157,3335,10108,0,11132,12298,0.9051878354203936,0.9051878354203936,0,0,111,111,3335,0,0,590,26
ptsetreg.MUT482.cpp,2,156,0,0,0,158,290,11052,0,11058,12298,0.8991705968450154,0.8991705968450154,0,0,19,19,290,0,0,590,26
calibration.MUT1975.cpp,2,156,0,0,0,158,2344,10842,0,10941,12298,0.8896568547731338,0.8896568547731338,0,0,62,62,2344,0,0,590,26
calibration.MUT1260.cpp,2,156,0,0,0,158,1781,10576,0,10848,12298,0.88209464953651,0.88209464953651,0,0,49,49,1781,0,0,590,26
local_optimization.MUT71.cpp,6,152,0,0,0,158,1082,10867,0,10955,12298,0.8907952512603675,0.8907952512603675,0,0,64,64,1082,0,0,590,26
stereobm.MUT243.cpp,1,155,0,0,2,158,423,10918,335,11058,12298,0.8991705968450154,0.8991705968450154,0,0,18,18,423,0,0,590,26
rho.MUT654.cpp,1,156,0,0,1,158,1000,10356,970,11058,12298,0.8991705968450154,0.8974630021141649,0,0,72,72,1000,0,0,590,26
fundam.MUT418.cpp,1,157,0,0,0,158,57,11039,0,11058,12298,0.8991705968450154,0.8991705968450154,0,0,3,3,57,0,0,590,26
homography_solver.MUT273.cpp,1,157,0,0,0,158,423,11023,0,11046,12298,0.8981948284273865,0.8981948284273865,0,0,43,43,423,0,0,590,26
stereobm.MUT516.cpp,1,155,0,0,2,158,423,10927,326,11058,12298,0.8991705968450154,0.8991705968450154,0,0,18,18,423,0,0,590,26
ptsetreg.MUT303.cpp,4,151,0,0,3,158,306,10956,299,11045,12297,0.8981865495649345,0.8976986256810604,0,0,19,19,306,0,0,590,26
circlesgrid.MUT681.cpp,1,156,0,0,0,157,357,10904,0,10993,12298,0.893885184582859,0.893885184582859,0,0,35,35,357,0,0,590,26
ptsetreg.MUT372.cpp,1,153,0,0,4,158,241,11015,288,11058,12298,0.8991705968450154,0.898682712636201,0,0,16,16,241,0,0,590,26
ippe.MUT71.cpp,3,154,0,0,0,157,2218,10920,0,11048,12298,0.8983574564969914,0.8983574564969914,0,0,86,86,2218,0,0,590,26
ptsetreg.MUT304.cpp,3,151,0,0,4,158,278,10968,306,11058,12298,0.8991705968450154,0.898682712636201,0,0,19,19,278,0,0,590,26
fisheye.MUT548.cpp,1,157,0,0,0,158,821,11037,0,11045,12298,0.8981135143925841,0.8981135143925841,0,0,24,24,821,0,0,590,26
ippe.MUT251.cpp,3,154,0,0,1,158,2197,10920,1687,11058,12298,0.8991705968450154,0.8991705968450154,0,0,85,85,2197,0,0,590,26
calibration.MUT1344.cpp,1,157,0,0,0,158,1901,10842,0,10892,12298,0.8856724670678159,0.8856724670678159,0,0,50,50,1901,0,0,590,26
calibinit.MUT149.cpp,1,154,0,0,3,158,785,10688,2820,11010,12298,0.8952675231744999,0.8784355179704016,0,0,28,28,785,0,0,590,26
calibration.MUT1346.cpp,1,157,0,0,0,158,1901,10896,0,10946,12298,0.8900634249471459,0.8900634249471459,0,0,50,50,1901,0,0,590,26
pnp_solver.MUT167.cpp,1,155,0,0,2,158,862,10383,1249,11048,12299,0.8982844133669404,0.8873892186356614,0,0,43,43,862,0,0,590,26
fundam.MUT476.cpp,5,152,0,0,1,158,737,10783,666,11012,12298,0.8954301512441047,0.8943730687916734,0,0,40,40,737,0,0,590,26
solvepnp.MUT412.cpp,1,157,0,0,0,158,1820,11039,0,11058,12298,0.8991705968450154,0.8991705968450154,0,0,73,73,1820,0,0,590,26
calibration.MUT1233.cpp,2,156,0,0,0,158,1889,10576,0,10946,12298,0.8900634249471459,0.8900634249471459,0,0,50,50,1889,0,0,590,26
rho.MUT505.cpp,2,156,0,0,0,158,1027,10356,0,11061,12295,0.8996339975599837,0.8996339975599837,0,0,73,73,1027,0,0,590,26
fisheye.MUT675.cpp,1,150,0,0,7,158,132,10437,849,11046,12298,0.8981948284273865,0.8556675882257277,0,0,5,5,132,0,0,590,26
pnp_solver.MUT67.cpp,1,157,0,0,0,158,1222,10912,0,11045,12297,0.8981865495649345,0.8981865495649345,0,0,74,74,1222,0,0,590,26
calibration.MUT165.cpp,5,152,0,0,1,158,923,9975,1728,10841,12297,0.8815971375132146,0.8404488899731641,0,0,28,28,923,0,0,590,26
calibration_handeye.MUT307.cpp,4,154,0,0,0,158,450,10651,0,11017,12298,0.8958367214181168,0.8958367214181168,0,0,18,18,450,0,0,590,26
calibration_handeye.MUT192.cpp,4,154,0,0,0,158,230,10651,0,10819,12298,0.8797365425272402,0.8797365425272402,0,0,9,9,230,0,0,590,26
calibinit.MUT888.cpp,3,153,0,0,2,158,49,10588,48,10604,12278,0.8636585763153608,0.8634956833360482,0,0,4,4,49,0,0,590,26
stereobm.MUT236.cpp,1,155,0,0,2,158,423,10906,335,11046,12298,0.8981948284273865,0.8981948284273865,0,0,18,18,423,0,0,590,26
fundam.MUT229.cpp,2,156,0,0,0,158,2802,10667,0,11052,12298,0.898682712636201,0.898682712636201,0,0,81,81,2802,0,0,590,26
calibration.MUT229.cpp,42,115,0,0,1,158,2495,7463,97,8950,12297,0.7278197934455558,0.7274945108563065,0,0,109,109,2495,0,0,590,26
calibration_handeye.MUT153.cpp,4,154,0,0,0,158,491,10651,0,11058,12298,0.8991705968450154,0.8991705968450154,0,0,19,19,491,0,0,590,26
