subject,method_name,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs,avg_num_utilized_mutants_overall,avg_mut_cnt_buggy_line,avg_f2p_buggy_line,avg_p2f_buggy_line,avg_num_ccts
zlib_ng_TF_top30,maxMutants,47.94,4.05,168.46,6.95,42.04,18.85,6.5
zlib_ng_TF_top30,avgMutants,47.94,4.05,119.62,4.93,31.34,13.18,6.5
zlib_ng_TF_top30,reduced-sbfl-based-,47.94,4.05,106.21,6.07,41.47,18.85,6.5
zlib_ng_TF_top30,minMutants,47.94,4.05,40.22,1.67,9.33,4.51,6.5
libxml2_TF_top30,maxMutants,2337.66,119.69,7664.85,8.43,23.97,0.08,7.58
libxml2_TF_top30,avgMutants,2337.66,119.69,5189.51,5.67,16.71,0.06,7.58
libxml2_TF_top30,reduced-sbfl-based-,2337.66,119.69,4836.37,8.43,23.97,0.08,7.58
libxml2_TF_top30,minMutants,2337.66,119.69,1789.57,1.98,5.03,0.02,7.58
opencv_features2d_TF_top30,maxMutants,467.12,21.7,1878.6,6.92,2.21,0.07,2.69
opencv_features2d_TF_top30,avgMutants,467.12,21.7,1261.63,4.51,1.4,0.05,2.69
opencv_features2d_TF_top30,reduced-sbfl-based-,467.12,21.7,1188.08,5.29,1.73,0.06,2.69
opencv_features2d_TF_top30,minMutants,467.12,21.7,429.05,1.5,0.46,0.02,2.69
opencv_imgproc_TF_top30,maxMutants,195.48,13.34,676.75,6.19,3.03,0.07,0.67
opencv_imgproc_TF_top30,avgMutants,195.48,13.34,446.31,4.0,1.91,0.04,0.67
opencv_imgproc_TF_top30,reduced-sbfl-based-,195.48,13.34,421.7,4.3,1.95,0.03,0.67
opencv_imgproc_TF_top30,minMutants,195.48,13.34,155.97,1.37,0.7,0.0,0.67
opencv_core_TF_top30,maxMutants,969.56,124.24,2832.79,8.69,29.66,5.22,10.64
opencv_core_TF_top30,avgMutants,969.56,124.24,1961.07,5.74,21.54,3.92,10.64
opencv_core_TF_top30,reduced-sbfl-based-,969.56,124.24,1827.96,8.27,29.53,5.22,10.64
opencv_core_TF_top30,minMutants,969.56,124.24,713.19,1.97,8.3,0.03,10.64
jsoncpp_TF_top30,maxMutants,430.88,77.91,1089.22,8.35,12.66,0.83,3.27
jsoncpp_TF_top30,avgMutants,430.88,77.91,789.97,5.69,9.78,0.41,3.27
jsoncpp_TF_top30,reduced-sbfl-based-,430.88,77.91,736.25,8.28,12.61,0.83,3.27
jsoncpp_TF_top30,minMutants,430.88,77.91,306.72,1.97,3.51,0.0,3.27
