subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10
zlib_ng_exp1,allfails-10mut,63.77,81.34,97.2,100.0
zlib_ng_exp1,sbfl20-10mut,58.48,79.31,96.75,100.0
zlib_ng_exp1,sbfl20-5mut,55.84,77.45,96.75,100.0
zlib_ng_exp1,sbfl20-3mut,53.81,76.54,96.56,100.0
zlib_ng_exp1,sbfl20-1mut,50.82,74.85,96.62,100.0
libxml2_exp1,allfails-10mut,83.25,91.3,93.75,97.67
libxml2_exp1,sbfl20-10mut,84.76,92.99,93.71,97.33
libxml2_exp1,sbfl20-5mut,84.42,92.6,91.16,94.74
libxml2_exp1,sbfl20-3mut,84.59,92.55,86.9,92.16
libxml2_exp1,sbfl20-1mut,85.11,93.03,80.22,89.96
opencv_features2d_exp1,allfails-10mut,80.69,91.52,83.71,94.83
opencv_features2d_exp1,sbfl20-10mut,76.84,89.57,79.53,87.59
opencv_features2d_exp1,sbfl20-5mut,76.1,89.31,70.13,82.33
opencv_features2d_exp1,sbfl20-3mut,75.45,89.13,65.13,81.03
opencv_features2d_exp1,sbfl20-1mut,72.38,87.49,54.74,75.13
opencv_imgproc_exp1,allfails-10mut,78.61,90.39,74.01,86.85
opencv_imgproc_exp1,sbfl20-10mut,50.0,74.24,47.54,71.85
opencv_imgproc_exp1,sbfl20-5mut,49.0,73.77,44.01,66.21
opencv_imgproc_exp1,sbfl20-3mut,49.18,73.77,41.38,62.93
opencv_imgproc_exp1,sbfl20-1mut,47.92,73.2,40.04,62.54
opencv_core_exp1,allfails-10mut,79.74,91.26,61.64,68.19
opencv_core_exp1,sbfl20-10mut,83.68,93.55,65.95,71.85
opencv_core_exp1,sbfl20-5mut,76.8,89.35,60.13,67.28
opencv_core_exp1,sbfl20-3mut,82.42,92.6,56.12,62.72
opencv_core_exp1,sbfl20-1mut,73.51,88.61,48.32,57.46
jsoncpp_exp1,allfails-10mut,81.99,91.86,94.83,99.78
jsoncpp_exp1,sbfl20-10mut,87.19,95.02,95.6,100.0
jsoncpp_exp1,sbfl20-5mut,87.06,94.72,93.45,99.35
jsoncpp_exp1,sbfl20-3mut,85.71,93.98,89.78,99.27
jsoncpp_exp1,sbfl20-1mut,83.2,92.68,86.08,96.47
