subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10
zlib_ng_exp1,allfails-10mut,63.77,81.34,97.2,100.0
zlib_ng_exp1,sbfl30-10mut,56.02,77.36,96.75,100.0
zlib_ng_exp1,sbfl30-5mut,56.58,78.14,96.75,100.0
zlib_ng_exp1,sbfl30-3mut,50.22,73.46,96.75,100.0
zlib_ng_exp1,sbfl30-1mut,52.68,75.45,96.62,100.0
libxml2_exp1,allfails-10mut,83.25,91.3,93.75,97.67
libxml2_exp1,sbfl30-10mut,83.33,91.52,94.05,97.8
libxml2_exp1,sbfl30-5mut,82.08,90.82,91.81,95.09
libxml2_exp1,sbfl30-3mut,83.46,91.82,90.26,93.71
libxml2_exp1,sbfl30-1mut,82.55,91.6,80.04,91.08
opencv_features2d_exp1,allfails-10mut,80.69,91.52,83.71,94.83
opencv_features2d_exp1,sbfl30-10mut,76.36,89.61,82.76,91.77
opencv_features2d_exp1,sbfl30-5mut,75.93,89.52,73.75,87.03
opencv_features2d_exp1,sbfl30-3mut,75.67,89.35,65.91,83.79
opencv_features2d_exp1,sbfl30-1mut,75.67,89.26,55.0,78.15
opencv_imgproc_exp1,allfails-10mut,78.61,90.39,74.01,86.85
opencv_imgproc_exp1,sbfl30-10mut,60.56,80.0,57.63,80.47
opencv_imgproc_exp1,sbfl30-5mut,58.44,79.61,52.93,69.78
opencv_imgproc_exp1,sbfl30-3mut,59.0,79.91,46.16,64.57
opencv_imgproc_exp1,sbfl30-1mut,58.66,79.78,43.1,62.93
opencv_core_exp1,allfails-10mut,79.74,91.26,61.64,68.19
opencv_core_exp1,sbfl30-10mut,82.64,92.68,61.21,67.5
opencv_core_exp1,sbfl30-5mut,82.34,92.42,60.65,66.51
opencv_core_exp1,sbfl30-3mut,80.69,92.38,54.96,63.62
opencv_core_exp1,sbfl30-1mut,72.94,88.1,47.89,56.12
jsoncpp_exp1,allfails-10mut,81.99,91.86,94.83,99.78
jsoncpp_exp1,sbfl30-10mut,86.23,94.29,95.39,99.96
jsoncpp_exp1,sbfl30-5mut,85.58,93.64,93.66,99.87
jsoncpp_exp1,sbfl30-3mut,83.12,93.12,89.74,99.22
jsoncpp_exp1,sbfl30-1mut,81.69,91.86,85.3,96.72
