subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10,avg_num_failing_tcs,avg_num_passing_tcs,avg_num_ccts,avg_num_utilized_failing_tcs,avg_num_utilized_passing_tcs,avg_num_utilized_ccts,avg_num_utilized_mutants,avg_num_utilized_mutants_per_line,avg_buggy_line_mut_cnt,avg_buggy_line_f2p,avg_buggy_line_p2f,avg_total_mut_build_time,avg_total_tcs_exec_time,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff,naish2_acc5,naish2_acc10,avg_line_top_perc
zlib_ng_exp1,allfails-10mut,63.77,81.34,97.2,100.0,24.36,733.24,8.85,24.36,733.24,0.0,360.73,7.12,8.51,31.87,14.03,224.56,3065.05,50.74,4.29,96.82,100.0,100.0,100.0,0.91,0.0,100.0,100.0,47.29
zlib_ng_exp1,sbfl30-10mut,56.02,77.36,96.75,100.0,24.36,733.24,8.85,24.36,733.24,0.0,104.78,7.0,6.01,31.25,14.03,62.43,888.97,50.74,4.29,94.27,94.9,94.9,94.9,0.26,-71.08,100.0,100.0,47.29
zlib_ng_exp1,sbfl30-5mut,56.58,78.14,96.75,100.0,24.36,733.24,8.85,24.36,733.24,0.0,61.93,4.11,3.53,15.87,8.41,36.99,525.39,50.74,4.29,94.9,94.9,94.9,94.9,0.16,-82.9,100.0,100.0,47.29
zlib_ng_exp1,sbfl30-3mut,50.22,73.46,96.75,100.0,24.36,733.24,8.85,24.36,733.24,0.0,37.24,2.47,2.14,13.01,4.99,22.19,315.95,50.74,4.29,94.9,94.9,94.9,94.9,0.09,-89.72,100.0,100.0,47.29
zlib_ng_exp1,sbfl30-1mut,52.68,75.45,96.62,100.0,24.36,733.24,8.85,24.36,733.24,0.0,12.41,0.82,0.71,3.92,1.64,7.4,105.32,50.74,4.29,94.9,94.9,94.9,94.9,0.03,-96.57,100.0,100.0,47.29
libxml2_exp1,allfails-10mut,83.25,91.3,93.75,97.67,13.36,76.81,8.46,13.36,76.81,0.0,14850.71,6.58,8.75,24.68,0.13,52293.58,13719.76,2242.6,117.12,75.86,78.02,73.71,77.59,18.34,0.0,71.12,86.64,52.08
libxml2_exp1,sbfl30-10mut,83.33,91.52,94.05,97.8,13.36,76.81,8.46,13.36,76.81,0.0,4418.28,6.55,8.75,24.68,0.13,14823.36,4080.09,2242.6,117.12,78.02,79.74,76.29,81.9,5.25,-71.36,71.12,86.64,52.08
libxml2_exp1,sbfl30-5mut,82.08,90.82,91.81,95.09,13.36,76.81,8.46,13.36,76.81,0.0,2536.21,3.76,4.85,14.15,0.13,8394.87,2342.22,2242.6,117.12,71.98,74.14,69.83,74.14,2.98,-83.73,71.12,86.64,52.08
libxml2_exp1,sbfl30-3mut,83.46,91.82,90.26,93.71,13.36,76.81,8.46,13.36,76.81,0.0,1545.51,2.29,2.95,7.98,0.06,5101.52,1427.31,2242.6,117.12,66.81,69.83,65.95,69.4,1.81,-90.11,71.12,86.64,52.08
libxml2_exp1,sbfl30-1mut,82.55,91.6,80.04,91.08,13.36,76.81,8.46,13.36,76.81,0.0,518.8,0.77,1.0,3.01,0.03,1710.47,479.07,2242.6,117.12,43.53,46.55,42.24,47.41,0.61,-96.68,71.12,86.64,52.08
