subject,method_name,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff
zlib_ng_exp1,allfails-10mut,96.82,100.0,100.0,100.0,0.91,0.0
zlib_ng_exp1,sbfl30-10mut,94.27,94.9,94.9,94.9,0.26,-71.08
zlib_ng_exp1,sbfl30-5mut,94.9,94.9,94.9,94.9,0.16,-82.9
zlib_ng_exp1,sbfl30-3mut,94.9,94.9,94.9,94.9,0.09,-89.72
zlib_ng_exp1,sbfl30-1mut,94.9,94.9,94.9,94.9,0.03,-96.57
libxml2_exp1,allfails-10mut,75.86,78.02,73.71,77.59,18.34,0.0
libxml2_exp1,sbfl30-10mut,78.02,79.74,76.29,81.9,5.25,-71.36
libxml2_exp1,sbfl30-5mut,71.98,74.14,69.83,74.14,2.98,-83.73
libxml2_exp1,sbfl30-3mut,66.81,69.83,65.95,69.4,1.81,-90.11
libxml2_exp1,sbfl30-1mut,43.53,46.55,42.24,47.41,0.61,-96.68
opencv_features2d_exp1,allfails-10mut,62.07,78.88,73.71,88.36,13.79,0.0
opencv_features2d_exp1,sbfl30-10mut,65.09,81.47,75.43,84.05,4.17,-69.75
opencv_features2d_exp1,sbfl30-5mut,64.22,80.17,71.12,81.9,2.34,-83.06
opencv_features2d_exp1,sbfl30-3mut,57.33,76.72,63.79,77.59,1.42,-89.72
opencv_features2d_exp1,sbfl30-1mut,52.59,71.12,54.74,71.12,0.47,-96.56
opencv_imgproc_exp1,allfails-10mut,64.66,71.55,67.67,73.71,7.47,0.0
opencv_imgproc_exp1,sbfl30-10mut,57.33,65.95,59.05,68.1,2.24,-69.96
opencv_imgproc_exp1,sbfl30-5mut,53.88,64.22,55.6,67.24,1.26,-83.19
opencv_imgproc_exp1,sbfl30-3mut,49.14,60.34,50.86,63.36,0.77,-89.68
opencv_imgproc_exp1,sbfl30-1mut,44.4,57.33,44.4,60.78,0.26,-96.53
opencv_core_exp1,allfails-10mut,71.55,72.41,68.97,71.98,46.98,0.0
opencv_core_exp1,sbfl30-10mut,70.26,72.41,71.55,76.29,14.53,-69.06
opencv_core_exp1,sbfl30-5mut,59.91,61.64,60.34,67.24,8.6,-81.7
opencv_core_exp1,sbfl30-3mut,51.72,53.88,51.72,59.91,5.39,-88.52
opencv_core_exp1,sbfl30-1mut,31.03,31.9,30.17,31.47,1.83,-96.1
jsoncpp_exp1,allfails-10mut,68.97,70.26,71.98,84.05,1.71,0.0
jsoncpp_exp1,sbfl30-10mut,69.83,71.12,86.21,97.84,0.52,-69.68
jsoncpp_exp1,sbfl30-5mut,62.5,63.36,78.88,96.12,0.33,-80.78
jsoncpp_exp1,sbfl30-3mut,53.45,54.31,72.41,92.24,0.21,-87.56
jsoncpp_exp1,sbfl30-1mut,30.6,31.47,37.5,60.34,0.07,-95.69
