subject,method_name,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff
zlib_ng_exp1,allfails-ten-mutants-all-passing,96.82,100.0,100.0,100.0,0.91,0.0
zlib_ng_exp1,all-passings,87.26,87.26,87.26,87.26,0.01,-98.92
zlib_ng_exp1,brSim-50-passings,85.99,85.99,85.99,85.99,0.01,-99.38
zlib_ng_exp1,brSim-30-passings,86.62,86.62,86.62,86.62,0.0,-99.57
zlib_ng_exp1,brSim-10-passings,86.62,86.62,86.62,86.62,0.0,-99.78
libxml2_exp1,allfails-ten-mutants-all-passing,75.86,78.02,73.71,77.59,18.34,0.0
libxml2_exp1,all-passings,45.26,56.47,46.12,62.07,0.21,-98.84
libxml2_exp1,brSim-50-passings,42.24,52.16,41.38,58.62,0.19,-98.96
libxml2_exp1,brSim-30-passings,49.14,55.17,49.14,58.19,0.18,-99.01
libxml2_exp1,brSim-10-passings,46.55,52.16,46.55,54.31,0.17,-99.08
opencv_features2d_exp1,allfails-ten-mutants-all-passing,62.07,78.88,73.71,88.36,13.79,0.0
opencv_features2d_exp1,all-passings,56.9,72.41,56.9,72.41,0.16,-98.86
opencv_features2d_exp1,brSim-50-passings,56.03,71.55,56.47,71.55,0.11,-99.18
opencv_features2d_exp1,brSim-30-passings,54.31,70.26,54.74,70.26,0.1,-99.31
opencv_features2d_exp1,brSim-10-passings,57.33,72.41,57.76,72.41,0.07,-99.52
opencv_imgproc_exp1,allfails-ten-mutants-all-passing,64.66,71.55,67.67,73.71,7.47,0.0
opencv_imgproc_exp1,all-passings,45.26,78.02,45.69,78.45,0.08,-98.87
opencv_imgproc_exp1,brSim-50-passings,43.53,82.33,43.97,82.33,0.07,-99.1
opencv_imgproc_exp1,brSim-30-passings,42.67,82.76,42.67,82.76,0.06,-99.16
opencv_imgproc_exp1,brSim-10-passings,43.53,78.88,44.4,79.31,0.05,-99.33
opencv_core_exp1,allfails-ten-mutants-all-passing,71.55,72.41,68.97,71.98,46.98,0.0
opencv_core_exp1,all-passings,33.62,43.1,35.78,49.14,0.61,-98.7
opencv_core_exp1,brSim-50-passings,34.05,44.4,36.21,52.16,0.44,-99.07
opencv_core_exp1,brSim-30-passings,34.48,43.97,37.5,46.55,0.37,-99.22
opencv_core_exp1,brSim-10-passings,33.62,41.38,34.48,42.67,0.3,-99.37
jsoncpp_exp1,allfails-ten-mutants-all-passing,68.97,70.26,71.98,84.05,1.71,0.0
jsoncpp_exp1,all-passings,43.1,77.16,66.38,95.69,0.03,-98.49
jsoncpp_exp1,brSim-50-passings,41.38,76.29,62.93,94.83,0.02,-98.61
jsoncpp_exp1,brSim-30-passings,36.21,75.0,53.45,93.1,0.02,-98.67
jsoncpp_exp1,brSim-10-passings,36.64,65.52,45.69,80.6,0.02,-98.75
