subject,method_name,naish2_acc5,naish2_acc10,avg_line_top_perc
zlib_ng_exp1,allfails-ten-Mutants,100.0,100.0,47.29
zlib_ng_exp1,ten-Mutants,100.0,100.0,47.29
zlib_ng_exp1,five-Mutants,100.0,100.0,47.29
zlib_ng_exp1,three-Mutants,100.0,100.0,47.29
zlib_ng_exp1,one-mutants,100.0,100.0,47.29
zlib_ng_exp1,zero-Mutants,100.0,100.0,47.29
libxml2_exp1,allfails-ten-Mutants,71.12,86.64,52.08
libxml2_exp1,ten-Mutants,71.12,86.64,52.08
libxml2_exp1,five-Mutants,71.12,86.64,52.08
libxml2_exp1,three-Mutants,71.12,86.64,52.08
libxml2_exp1,one-mutants,71.12,86.64,52.08
libxml2_exp1,zero-Mutants,71.12,86.64,52.08
opencv_features2d_exp1,allfails-ten-Mutants,28.02,64.22,42.51
opencv_features2d_exp1,ten-Mutants,28.02,64.22,42.51
opencv_features2d_exp1,five-Mutants,28.02,64.22,42.51
opencv_features2d_exp1,three-Mutants,28.02,64.22,42.51
opencv_features2d_exp1,one-mutants,28.02,64.22,42.51
opencv_features2d_exp1,zero-Mutants,28.02,64.22,42.51
opencv_imgproc_exp1,allfails-ten-Mutants,34.05,48.28,50.74
opencv_imgproc_exp1,ten-Mutants,34.05,48.28,50.74
opencv_imgproc_exp1,five-Mutants,34.05,48.28,50.74
opencv_imgproc_exp1,three-Mutants,34.05,48.28,50.74
opencv_imgproc_exp1,one-mutants,34.05,48.28,50.74
opencv_imgproc_exp1,zero-Mutants,34.05,48.28,50.74
opencv_core_exp1,allfails-ten-Mutants,45.69,55.17,52.35
opencv_core_exp1,ten-Mutants,45.69,55.17,52.35
opencv_core_exp1,five-Mutants,45.69,55.17,52.35
opencv_core_exp1,three-Mutants,45.69,55.17,52.35
opencv_core_exp1,one-mutants,45.69,55.17,52.35
opencv_core_exp1,zero-Mutants,45.69,55.17,52.35
jsoncpp_exp1,allfails-ten-Mutants,81.47,95.69,52.09
jsoncpp_exp1,ten-Mutants,81.47,95.69,52.09
jsoncpp_exp1,five-Mutants,81.47,95.69,52.09
jsoncpp_exp1,three-Mutants,81.47,95.69,52.09
jsoncpp_exp1,one-mutants,81.47,95.69,52.09
jsoncpp_exp1,zero-Mutants,81.47,95.69,52.09
