subject,method_name,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff
zlib_ng_exp1,allfails-ten-Mutants,96.82,100.0,100.0,100.0,0.91,0.0
zlib_ng_exp1,ten-Mutants,87.26,87.26,87.26,87.26,0.08,-90.86
zlib_ng_exp1,five-Mutants,86.62,86.62,86.62,86.62,0.05,-94.59
zlib_ng_exp1,three-Mutants,86.62,86.62,86.62,86.62,0.03,-96.71
zlib_ng_exp1,one-mutants,87.26,87.26,87.26,87.26,0.01,-98.92
zlib_ng_exp1,zero-Mutants,0.0,0.0,86.62,86.62,0.0,-100.0
libxml2_exp1,allfails-ten-Mutants,75.86,78.02,73.71,77.59,18.34,0.0
libxml2_exp1,ten-Mutants,78.02,83.19,79.74,92.67,1.84,-89.97
libxml2_exp1,five-Mutants,74.14,80.6,75.0,88.36,1.04,-94.31
libxml2_exp1,three-Mutants,66.38,72.41,66.81,79.74,0.63,-96.54
libxml2_exp1,one-mutants,45.26,56.47,46.12,62.07,0.21,-98.84
libxml2_exp1,zero-Mutants,0.0,0.0,3.45,17.67,0.0,-100.0
opencv_features2d_exp1,allfails-ten-Mutants,62.07,78.88,73.71,88.36,13.79,0.0
opencv_features2d_exp1,ten-Mutants,66.38,79.74,68.1,79.74,1.38,-89.99
opencv_features2d_exp1,five-Mutants,63.79,75.86,64.66,75.86,0.77,-94.39
opencv_features2d_exp1,three-Mutants,62.93,75.43,63.79,75.43,0.47,-96.6
opencv_features2d_exp1,one-mutants,56.9,72.41,56.9,72.41,0.16,-98.86
opencv_features2d_exp1,zero-Mutants,0.0,0.0,43.97,65.95,0.0,-100.0
opencv_imgproc_exp1,allfails-ten-Mutants,64.66,71.55,67.67,73.71,7.47,0.0
opencv_imgproc_exp1,ten-Mutants,50.43,78.45,52.59,78.02,0.73,-90.27
opencv_imgproc_exp1,five-Mutants,49.14,78.88,49.57,78.45,0.41,-94.52
opencv_imgproc_exp1,three-Mutants,45.69,82.33,46.55,82.33,0.25,-96.63
opencv_imgproc_exp1,one-mutants,45.26,78.02,45.69,78.45,0.08,-98.87
opencv_imgproc_exp1,zero-Mutants,0.0,0.0,40.09,79.31,0.0,-100.0
opencv_core_exp1,allfails-ten-Mutants,71.55,72.41,68.97,71.98,46.98,0.0
opencv_core_exp1,ten-Mutants,61.64,63.36,62.93,67.24,4.86,-89.66
opencv_core_exp1,five-Mutants,59.48,63.36,62.07,66.81,2.87,-93.89
opencv_core_exp1,three-Mutants,52.59,57.76,55.17,62.07,1.8,-96.17
opencv_core_exp1,one-mutants,33.62,43.1,35.78,49.14,0.61,-98.7
opencv_core_exp1,zero-Mutants,0.0,0.0,14.22,32.76,0.0,-100.0
jsoncpp_exp1,allfails-ten-Mutants,68.97,70.26,71.98,84.05,1.71,0.0
jsoncpp_exp1,ten-Mutants,72.41,90.52,91.38,98.28,0.18,-89.24
jsoncpp_exp1,five-Mutants,65.09,84.91,89.66,96.98,0.12,-93.15
jsoncpp_exp1,three-Mutants,57.76,81.47,84.91,96.55,0.08,-95.61
jsoncpp_exp1,one-mutants,43.1,77.16,66.38,95.69,0.03,-98.49
jsoncpp_exp1,zero-Mutants,0.0,0.0,14.22,63.79,0.0,-100.0
