subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs,avg_num_utilized_mutants_overall,avg_mut_cnt_buggy_line,avg_f2p_buggy_line,avg_p2f_buggy_line,avg_num_ccts,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff,naish2_acc5,naish2_acc10,avg_line_top_perc
zlib_ng_TF_top30,sbfl-based-100,65.11,82.34,99.11,100.0,47.94,4.05,340.18,8.43,42.22,18.85,6.5,98.1,99.37,99.37,100.0,1.47,0.0,100.0,100.0,52.0
zlib_ng_TF_top30,sbfl-based-50,58.92,79.39,98.73,100.0,47.94,4.05,168.46,6.95,42.04,18.85,6.5,97.47,98.73,98.73,98.73,0.73,-50.07,100.0,100.0,52.0
zlib_ng_TF_top30,sbfl-based-30,56.19,78.79,98.67,100.0,47.94,4.05,100.13,6.32,41.94,18.85,6.5,96.2,96.2,96.2,96.2,0.42,-71.26,100.0,100.0,52.0
zlib_ng_TF_top30,sbfl-based-10,59.35,81.47,98.67,100.0,47.94,4.05,32.72,4.91,39.29,17.04,6.5,92.41,92.41,92.41,92.41,0.14,-90.7,100.0,100.0,52.0
zlib_ng_TF_top30,sbfl-based-1,52.9,76.36,98.73,100.0,47.94,4.05,7.66,2.44,17.49,8.7,6.5,84.18,84.18,84.18,84.18,0.03,-97.68,100.0,100.0,52.0
zlib_ng_TF_top30,sbfl-based-0,48.01,73.46,98.54,100.0,47.94,4.05,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,100.0,52.0
libxml2_TF_top30,sbfl-based-100,84.59,92.29,93.9,98.43,2337.66,119.69,15461.43,8.43,23.97,0.08,7.58,75.0,76.69,71.19,76.27,27.56,0.0,72.03,85.17,52.52
libxml2_TF_top30,sbfl-based-50,85.28,93.07,93.98,98.56,2337.66,119.69,7664.85,8.43,23.97,0.08,7.58,75.42,77.97,72.88,78.81,13.98,-49.28,72.03,85.17,52.52
libxml2_TF_top30,sbfl-based-30,85.15,92.9,93.94,98.43,2337.66,119.69,4592.9,8.43,23.97,0.08,7.58,75.85,78.81,74.15,81.78,8.4,-69.51,72.03,85.17,52.52
libxml2_TF_top30,sbfl-based-10,86.75,94.24,94.03,98.73,2337.66,119.69,1519.75,8.31,22.36,0.08,7.58,76.69,82.63,82.63,94.07,2.66,-90.34,72.03,85.17,52.52
