subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10
zlib_ng_TF_top30,sbfl-based-100,65.11,82.34,99.11,100.0
zlib_ng_TF_top30,sbfl-based-50,58.92,79.39,98.73,100.0
zlib_ng_TF_top30,sbfl-based-30,56.19,78.79,98.67,100.0
zlib_ng_TF_top30,sbfl-based-10,59.35,81.47,98.67,100.0
zlib_ng_TF_top30,sbfl-based-1,52.9,76.36,98.73,100.0
zlib_ng_TF_top30,sbfl-based-0,48.01,73.46,98.54,100.0
libxml2_TF_top30,sbfl-based-100,84.59,92.29,93.9,98.43
libxml2_TF_top30,sbfl-based-50,85.28,93.07,93.98,98.56
libxml2_TF_top30,sbfl-based-30,85.15,92.9,93.94,98.43
libxml2_TF_top30,sbfl-based-10,86.75,94.24,94.03,98.73
libxml2_TF_top30,sbfl-based-1,62.16,82.68,84.24,92.16
libxml2_TF_top30,sbfl-based-0,35.11,64.68,70.34,85.17
opencv_features2d_TF_top30,sbfl-based-100,80.04,90.69,84.96,95.08
opencv_features2d_TF_top30,sbfl-based-50,78.4,89.7,82.5,94.0
opencv_features2d_TF_top30,sbfl-based-30,78.14,90.22,79.08,90.75
opencv_features2d_TF_top30,sbfl-based-10,64.37,82.73,76.88,91.13
opencv_features2d_TF_top30,sbfl-based-1,44.11,71.43,46.58,72.92
opencv_features2d_TF_top30,sbfl-based-0,42.6,69.87,23.38,62.46
opencv_imgproc_TF_top30,sbfl-based-100,80.48,91.39,79.18,90.91
opencv_imgproc_TF_top30,sbfl-based-50,63.42,83.03,66.81,83.62
opencv_imgproc_TF_top30,sbfl-based-30,62.08,81.69,65.56,83.58
opencv_imgproc_TF_top30,sbfl-based-10,43.64,69.96,47.11,66.77
opencv_imgproc_TF_top30,sbfl-based-1,34.16,63.03,36.21,52.41
opencv_imgproc_TF_top30,sbfl-based-0,33.33,61.95,36.03,51.68
opencv_core_TF_top30,sbfl-based-100,83.07,92.68,59.7,67.16
opencv_core_TF_top30,sbfl-based-50,78.66,89.78,59.87,65.95
opencv_core_TF_top30,sbfl-based-30,84.16,93.2,66.98,73.19
opencv_core_TF_top30,sbfl-based-10,79.83,90.87,53.58,62.11
opencv_core_TF_top30,sbfl-based-1,58.61,80.13,38.41,49.27
opencv_core_TF_top30,sbfl-based-0,47.14,72.9,36.59,45.69
jsoncpp_TF_top30,sbfl-based-100,81.13,90.43,94.4,98.88
jsoncpp_TF_top30,sbfl-based-50,82.47,91.43,95.43,99.05
jsoncpp_TF_top30,sbfl-based-30,86.71,94.24,95.65,99.22
jsoncpp_TF_top30,sbfl-based-10,85.71,94.59,94.35,98.58
jsoncpp_TF_top30,sbfl-based-1,65.37,83.03,82.93,93.88
jsoncpp_TF_top30,sbfl-based-0,37.97,66.54,78.19,93.15
