buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs,#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_funcs_executed_by_failing_TCs,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
agast.MUT162.cpp,1,88,0,0,0,89,384,4469,0,4809,8459,0.5685069157110769,0.5685069157110769,0,0,2,2,384,0,0,292,12
mser.MUT170.cpp,1,87,0,0,1,89,215,6511,208,6705,8459,0.7926468849745832,0.7925286676912164,0,0,24,24,215,0,0,292,12
AKAZEFeatures.MUT22.cpp,10,66,0,0,13,89,632,5783,3589,6709,8459,0.7931197541080506,0.7505615320959924,0,0,44,44,632,0,0,292,12
agast.MUT1224.cpp,1,88,0,0,0,89,1363,4469,0,5788,8459,0.6842416361272018,0.6842416361272018,0,0,3,3,1363,0,0,292,12
orb.MUT350.cpp,1,72,0,0,16,89,372,6217,3628,6710,8459,0.7932379713914174,0.7481971864286558,0,0,20,20,372,0,0,292,12
agast.MUT1117.cpp,1,88,0,0,0,89,1378,4469,0,5803,8459,0.6860148953777042,0.6860148953777042,0,0,3,3,1378,0,0,292,12
agast.MUT1160.cpp,1,88,0,0,0,89,1366,4469,0,5791,8459,0.6845962879773023,0.6845962879773023,0,0,3,3,1366,0,0,292,12
agast.MUT1176.cpp,1,88,0,0,0,89,1375,4469,0,5800,8459,0.6856602435276037,0.6856602435276037,0,0,3,3,1375,0,0,292,12
mser.MUT459.cpp,1,88,0,0,0,89,184,6511,0,6673,8459,0.7888639319068448,0.7888639319068448,0,0,12,12,184,0,0,292,12
agast.MUT3475.cpp,1,88,0,0,0,89,2284,4469,0,6709,8459,0.7931197541080506,0.7931197541080506,0,0,4,4,2284,0,0,292,12
brisk.MUT920.cpp,1,75,0,0,13,89,1798,5641,3608,6709,8459,0.7931197541080506,0.7406312802931788,0,0,40,40,1798,0,0,292,12
orb.MUT313.cpp,17,71,0,0,1,89,1207,6095,217,6526,8459,0.7714859912519211,0.7643929542499114,0,0,75,75,1207,0,0,292,12
agast.MUT3382.cpp,1,88,0,0,0,89,2282,4469,0,6707,8459,0.792883319541317,0.792883319541317,0,0,4,4,2282,0,0,292,12
brisk.MUT1113.cpp,2,75,0,0,12,89,2048,5641,3609,6710,8459,0.7932379713914174,0.7484336209953896,0,0,40,40,2048,0,0,292,12
agast.MUT2212.cpp,1,88,0,0,0,89,2281,4469,0,6706,8459,0.7927651022579502,0.7927651022579502,0,0,4,4,2281,0,0,292,12
sift.dispatch.MUT91.cpp,9,79,0,0,1,89,262,6495,241,6678,8459,0.7894550183236789,0.7893368010403121,0,0,23,23,262,0,0,292,12
nldiffusion_functions.MUT28.cpp,2,63,0,0,24,89,163,5974,3593,6710,8459,0.7932379713914174,0.7230169050715215,0,0,14,14,163,0,0,292,12
agast.MUT2167.cpp,1,88,0,0,0,89,2286,4469,0,6711,8459,0.7933561886747843,0.7933561886747843,0,0,4,4,2286,0,0,292,12
agast.MUT1686.cpp,1,88,0,0,0,89,1373,4469,0,5798,8459,0.6854238089608701,0.6854238089608701,0,0,3,3,1373,0,0,292,12
agast.MUT3172.cpp,1,88,0,0,0,89,2282,4469,0,6707,8459,0.792883319541317,0.792883319541317,0,0,4,4,2282,0,0,292,12
sift.dispatch.MUT17.cpp,2,84,0,0,2,88,312,6662,183,6706,8457,0.7929525836585077,0.7929525836585077,0,0,26,26,312,0,0,292,12
brisk.MUT705.cpp,7,75,0,0,7,89,3355,5641,3284,6491,8459,0.7673483863340821,0.7661662135004138,0,0,122,122,3355,0,0,292,12
sift.dispatch.MUT74.cpp,5,79,0,0,5,89,286,6495,288,6687,8459,0.7905189738739804,0.7899278874571463,0,0,25,25,286,0,0,292,12
agast.MUT4715.cpp,1,73,0,0,15,89,1799,4514,3648,6710,8459,0.7932379713914174,0.7161603026362454,0,0,40,40,1799,0,0,292,12
agast.MUT1130.cpp,1,88,0,0,0,89,1385,4469,0,5810,8459,0.686842416361272,0.686842416361272,0,0,3,3,1385,0,0,292,12
agast.MUT66.cpp,1,88,0,0,0,89,392,4469,0,4817,8459,0.5694526539780116,0.5694526539780116,0,0,2,2,392,0,0,292,12
AKAZEFeatures.MUT571.cpp,2,79,0,0,8,89,549,6376,3590,6710,8459,0.7932379713914174,0.7613193048823738,0,0,39,39,549,0,0,292,12
fast.MUT164.cpp,2,70,0,0,17,89,132,6011,3549,6614,8427,0.7848581939005578,0.7289664174676634,0,0,12,12,132,0,0,292,12
agast.MUT1186.cpp,1,88,0,0,0,89,1373,4469,0,5798,8459,0.6854238089608701,0.6854238089608701,0,0,3,3,1373,0,0,292,12
brisk.MUT89.cpp,4,74,0,0,11,89,2062,5368,3590,6693,8459,0.7912282775741813,0.7468967963116208,0,0,43,43,2062,0,0,292,12
brisk.MUT248.cpp,1,76,0,0,12,89,1824,6163,3583,6688,8459,0.7906371911573472,0.7510344012294597,0,0,41,41,1824,0,0,292,12
affine_feature.MUT61.cpp,1,87,0,0,1,89,274,6583,272,6690,8460,0.7907801418439716,0.7906619385342789,0,0,23,23,274,0,0,292,12
agast.MUT2712.cpp,1,88,0,0,0,89,2291,4469,0,6716,8459,0.7939472750916184,0.7939472750916184,0,0,4,4,2291,0,0,292,12
agast.MUT2772.cpp,1,88,0,0,0,89,2303,4469,0,6728,8459,0.7953658824920203,0.7953658824920203,0,0,4,4,2303,0,0,292,12
agast.MUT4216.cpp,1,73,0,0,15,89,1144,4514,3619,6681,8459,0.7898096701737795,0.6636718288213737,0,0,6,6,1144,0,0,292,12
agast.MUT1893.cpp,1,88,0,0,0,89,1373,4469,0,5798,8457,0.685585905167317,0.685585905167317,0,0,3,3,1373,0,0,292,12
mser.MUT478.cpp,1,88,0,0,0,89,188,6511,0,6678,8459,0.7894550183236789,0.7894550183236789,0,0,13,13,188,0,0,292,12
agast.MUT2080.cpp,1,88,0,0,0,89,1374,4469,0,5799,8459,0.6855420262442369,0.6855420262442369,0,0,3,3,1374,0,0,292,12
brisk.MUT204.cpp,3,75,0,0,11,89,2075,6163,3609,6710,8459,0.7932379713914174,0.7589549592150372,0,0,41,41,2075,0,0,292,12
agast.MUT46.cpp,1,88,0,0,0,89,381,4469,0,4806,8459,0.5681522638609765,0.5681522638609765,0,0,2,2,381,0,0,292,12
sift.dispatch.MUT139.cpp,2,78,0,0,9,89,273,6389,297,6687,8459,0.7905189738739804,0.7875635417898097,0,0,23,23,273,0,0,292,12
agast.MUT2153.cpp,1,88,0,0,0,89,2255,4469,0,6680,8459,0.7896914528904125,0.7896914528904125,0,0,4,4,2255,0,0,292,12
agast.MUT4694.cpp,1,73,0,0,15,89,1799,4514,3648,6710,8459,0.7932379713914174,0.7161603026362454,0,0,40,40,1799,0,0,292,12
agast.MUT224.cpp,1,88,0,0,0,89,384,4469,0,4809,8459,0.5685069157110769,0.5685069157110769,0,0,2,2,384,0,0,292,12
AKAZEFeatures.MUT60.cpp,8,68,0,0,7,83,613,6116,3561,6691,8459,0.7909918430074477,0.7484336209953896,0,0,44,44,613,0,0,292,12
AKAZEFeatures.MUT386.cpp,1,67,0,0,0,68,355,6161,0,6351,8459,0.7507979666627261,0.7507979666627261,0,0,30,30,355,0,0,292,12
agast.MUT899.cpp,1,88,0,0,0,89,1372,4469,0,5797,8459,0.6853055916775033,0.6853055916775033,0,0,3,3,1372,0,0,292,12
AKAZEFeatures.MUT598.cpp,2,79,0,0,8,89,549,6376,3589,6710,8459,0.7932379713914174,0.7613193048823738,0,0,39,39,549,0,0,292,12
AKAZEFeatures.MUT434.cpp,4,67,0,0,18,89,470,6161,3592,6710,8459,0.7932379713914174,0.744650667927651,0,0,35,35,470,0,0,292,12
agast.MUT1084.cpp,1,88,0,0,0,89,1374,4469,0,5799,8459,0.6855420262442369,0.6855420262442369,0,0,3,3,1374,0,0,292,12
agast.MUT2836.cpp,1,88,0,0,0,89,2193,4469,0,6618,8458,0.7824544809647671,0.7824544809647671,0,0,4,4,2193,0,0,292,12
sift.dispatch.MUT82.cpp,2,79,0,0,8,89,273,6495,290,6687,8459,0.7905189738739804,0.7894550183236789,0,0,23,23,273,0,0,292,12
