TC_id,test_funcname,filename,result,error,options
TC94,oldParseTest,./test/ns3,result/ns3,NULL,65536
TC95,oldParseTest,./test/ns4,result/ns4,NULL,65536
TC96,oldParseTest,./test/ns5,result/ns5,NULL,65536
TC97,oldParseTest,./test/ns6,result/ns6,NULL,65536
TC98,oldParseTest,./test/ns7,result/ns7,NULL,65536
TC99,oldParseTest,./test/nsclean.xml,result/nsclean.xml,NULL,65536
TC100,oldParseTest,./test/p3p,result/p3p,NULL,65536
TC101,oldParseTest,./test/pi.xml,result/pi.xml,NULL,65536
TC102,oldParseTest,./test/pi2.xml,result/pi2.xml,NULL,65536
TC103,oldParseTest,./test/rdf1,result/rdf1,NULL,65536
TC104,oldParseTest,./test/rdf2,result/rdf2,NULL,65536
TC105,oldParseTest,./test/slashdot.rdf,result/slashdot.rdf,NULL,65536
TC106,oldParseTest,./test/slashdot.xml,result/slashdot.xml,NULL,65536
TC107,oldParseTest,./test/slashdot16.xml,result/slashdot16.xml,NULL,65536
TC108,oldParseTest,./test/svg1,result/svg1,NULL,65536
TC109,oldParseTest,./test/svg2,result/svg2,NULL,65536
TC110,oldParseTest,./test/svg3,result/svg3,NULL,65536
TC111,oldParseTest,./test/text-4-byte-UTF-16-BE-offset.xml,result/text-4-byte-UTF-16-BE-offset.xml,NULL,65536
TC112,oldParseTest,./test/text-4-byte-UTF-16-BE.xml,result/text-4-byte-UTF-16-BE.xml,NULL,65536
TC113,oldParseTest,./test/text-4-byte-UTF-16-LE-offset.xml,result/text-4-byte-UTF-16-LE-offset.xml,NULL,65536
TC114,oldParseTest,./test/text-4-byte-UTF-16-LE.xml,result/text-4-byte-UTF-16-LE.xml,NULL,65536
TC115,oldParseTest,./test/title.xml,result/title.xml,NULL,65536
TC116,oldParseTest,./test/tstblanks.xml,result/tstblanks.xml,NULL,65536
TC117,oldParseTest,./test/utf16bebom.xml,result/utf16bebom.xml,NULL,65536
TC118,oldParseTest,./test/utf16bom.xml,result/utf16bom.xml,NULL,65536
TC119,oldParseTest,./test/utf16lebom.xml,result/utf16lebom.xml,NULL,65536
TC120,oldParseTest,./test/utf8bom.xml,result/utf8bom.xml,NULL,65536
TC121,oldParseTest,./test/wap.xml,result/wap.xml,NULL,65536
TC122,oldParseTest,./test/winblanks.xml,result/winblanks.xml,NULL,65536
TC123,oldParseTest,./test/wml.xml,result/wml.xml,NULL,65536
TC124,oldParseTest,./test/xhtml1,result/xhtml1,NULL,65536
TC125,oldParseTest,./test/xhtmlcomp,result/xhtmlcomp,NULL,65536
TC126,oldParseTest,./test/xml1,result/xml1,NULL,65536
TC127,oldParseTest,./test/xml2,result/xml2,NULL,65536
TC128,memParseTest,./test/att1,result/att1,NULL,65536
TC129,memParseTest,./test/att10,result/att10,NULL,65536
TC130,memParseTest,./test/att11,result/att11,NULL,65536
TC131,memParseTest,./test/att2,result/att2,NULL,65536
TC132,memParseTest,./test/att3,result/att3,NULL,65536
TC133,memParseTest,./test/att4,result/att4,NULL,65536
TC134,memParseTest,./test/att5,result/att5,NULL,65536
TC135,memParseTest,./test/att6,result/att6,NULL,65536
TC136,memParseTest,./test/att7,result/att7,NULL,65536
TC137,memParseTest,./test/att8,result/att8,NULL,65536
TC138,memParseTest,./test/att9,result/att9,NULL,65536
TC139,memParseTest,./test/attrib.xml,result/attrib.xml,NULL,65536
TC140,memParseTest,./test/badcomment.xml,result/badcomment.xml,NULL,65536
TC141,memParseTest,./test/bigentname.xml,result/bigentname.xml,NULL,65536
TC142,memParseTest,./test/bigname.xml,result/bigname.xml,NULL,65536
TC143,memParseTest,./test/bigname2.xml,result/bigname2.xml,NULL,65536
TC144,memParseTest,./test/boundaries1.xml,result/boundaries1.xml,NULL,65536
TC145,memParseTest,./test/cdata,result/cdata,NULL,65536
TC146,memParseTest,./test/cdata-2-byte-UTF-8.xml,result/cdata-2-byte-UTF-8.xml,NULL,65536
TC147,memParseTest,./test/cdata-3-byte-UTF-8.xml,result/cdata-3-byte-UTF-8.xml,NULL,65536
