subject,method_name,avg_num_failing_tcs,avg_num_passing_tcs,avg_num_ccts,avg_num_utilized_failing_tcs,avg_num_utilized_passing_tcs,avg_num_utilized_ccts,avg_num_utilized_mutants,avg_num_utilized_mutants_per_line,avg_buggy_line_mut_cnt,avg_buggy_line_f2p,avg_buggy_line_p2f,avg_total_mut_build_time,avg_total_tcs_exec_time,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs
opencv_features2d_exp1,allfails-10mut,2.0,56.5,3.2,2.0,56.5,0.0,3835.98,7.78,9.14,3.0,0.03,16942.07,32689.51,478.77,22.35
opencv_features2d_exp1,sbfl10-10mut,2.0,56.5,3.2,2.0,56.5,0.0,383.54,7.96,2.94,0.93,0.0,1699.42,3266.94,478.77,22.35
opencv_features2d_exp1,sbfl10-5mut,2.0,56.5,3.2,2.0,56.5,0.0,215.03,4.42,1.55,0.5,0.01,953.66,1831.95,478.77,22.35
opencv_features2d_exp1,sbfl10-3mut,2.0,56.5,3.2,2.0,56.5,0.0,130.14,2.67,1.02,0.29,0.0,576.98,1108.72,478.77,22.35
opencv_features2d_exp1,sbfl10-1mut,2.0,56.5,3.2,2.0,56.5,0.0,43.64,0.9,0.32,0.12,0.0,193.32,371.82,478.77,22.35
opencv_features2d_exp1,sbfl10-0mut,2.0,56.5,3.2,2.0,56.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.77,22.35
opencv_imgproc_exp1,allfails-10mut,2.43,96.79,0.65,2.43,96.79,0.0,1378.04,6.82,8.8,2.95,0.0,14625.49,12257.57,199.08,13.86
opencv_imgproc_exp1,sbfl10-10mut,2.43,96.79,0.65,2.43,96.79,0.0,135.5,6.92,2.65,1.05,0.0,1410.23,1205.17,199.08,13.86
opencv_imgproc_exp1,sbfl10-5mut,2.43,96.79,0.65,2.43,96.79,0.0,76.44,3.89,1.21,0.38,0.0,793.1,680.02,199.08,13.86
opencv_imgproc_exp1,sbfl10-3mut,2.43,96.79,0.65,2.43,96.79,0.0,47.12,2.38,0.68,0.21,0.0,487.9,419.18,199.08,13.86
opencv_imgproc_exp1,sbfl10-1mut,2.43,96.79,0.65,2.43,96.79,0.0,15.78,0.81,0.26,0.12,0.0,163.28,140.33,199.08,13.86
opencv_imgproc_exp1,sbfl10-0mut,2.43,96.79,0.65,2.43,96.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.08,13.86
opencv_core_exp1,allfails-10mut,16.71,273.12,8.05,16.71,273.12,0.0,5142.56,5.3,8.43,28.56,0.0,65943.63,103195.94,971.84,123.99
opencv_core_exp1,sbfl10-10mut,16.71,273.12,8.05,16.71,273.12,0.0,531.29,5.68,6.12,27.83,0.0,6795.35,10689.24,971.84,123.99
opencv_core_exp1,sbfl10-5mut,16.71,273.12,8.05,16.71,273.12,0.0,314.46,3.34,3.5,14.2,0.0,4004.28,6323.02,971.84,123.99
opencv_core_exp1,sbfl10-3mut,16.71,273.12,8.05,16.71,273.12,0.0,197.36,2.09,2.08,10.71,0.0,2511.62,3967.77,971.84,123.99
opencv_core_exp1,sbfl10-1mut,16.71,273.12,8.05,16.71,273.12,0.0,67.22,0.71,0.69,2.0,0.0,852.9,1351.38,971.84,123.99
opencv_core_exp1,sbfl10-0mut,16.71,273.12,8.05,16.71,273.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.84,123.99
jsoncpp_exp1,allfails-10mut,6.39,116.19,2.14,6.39,116.19,0.0,2205.47,4.95,8.01,10.4,0.0,5169.71,993.81,437.05,78.8
jsoncpp_exp1,sbfl10-10mut,6.39,116.19,2.14,6.39,116.19,0.0,236.14,5.55,7.53,10.31,0.0,556.67,106.44,437.05,78.8
jsoncpp_exp1,sbfl10-5mut,6.39,116.19,2.14,6.39,116.19,0.0,150.83,3.54,4.52,6.1,0.0,354.35,68.01,437.05,78.8
jsoncpp_exp1,sbfl10-3mut,6.39,116.19,2.14,6.39,116.19,0.0,96.92,2.28,2.84,3.85,0.0,226.81,43.71,437.05,78.8
jsoncpp_exp1,sbfl10-1mut,6.39,116.19,2.14,6.39,116.19,0.0,33.51,0.79,0.94,2.19,0.0,78.22,15.11,437.05,78.8
jsoncpp_exp1,sbfl10-0mut,6.39,116.19,2.14,6.39,116.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.05,78.8
