subject,method_name,avg_num_failing_tcs,avg_num_passing_tcs,avg_num_ccts,avg_num_utilized_failing_tcs,avg_num_utilized_passing_tcs,avg_num_utilized_ccts,avg_num_utilized_mutants,avg_num_utilized_mutants_per_line,avg_buggy_line_mut_cnt,avg_buggy_line_f2p,avg_buggy_line_p2f,avg_total_mut_build_time,avg_total_tcs_exec_time,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs
zlib_ng_exp1,allfails-ten-Mutants,24.36,733.24,8.85,24.36,733.24,0.0,360.73,7.12,8.51,31.87,14.03,224.56,3065.05,50.74,4.29
zlib_ng_exp1,ten-Mutants,24.36,733.24,8.85,24.36,733.24,0.0,104.78,7.0,6.01,31.25,14.03,62.43,888.97,50.74,4.29
zlib_ng_exp1,five-Mutants,24.36,733.24,8.85,24.36,733.24,0.0,61.87,4.11,3.56,19.75,8.21,36.93,524.92,50.74,4.29
zlib_ng_exp1,three-Mutants,24.36,733.24,8.85,24.36,733.24,0.0,37.24,2.47,2.14,13.01,4.99,22.19,315.95,50.74,4.29
zlib_ng_exp1,one-mutants,24.36,733.24,8.85,24.36,733.24,0.0,12.41,0.82,0.71,3.92,1.64,7.4,105.32,50.74,4.29
libxml2_exp1,allfails-ten-Mutants,13.36,76.81,8.46,13.36,76.81,0.0,14850.71,6.58,8.75,24.68,0.13,52293.58,13719.76,2242.6,117.12
libxml2_exp1,ten-Mutants,13.36,76.81,8.46,13.36,76.81,0.0,4418.28,6.55,8.75,24.68,0.13,14823.36,4080.09,2242.6,117.12
libxml2_exp1,five-Mutants,13.36,76.81,8.46,13.36,76.81,0.0,2535.69,3.76,4.85,12.31,0.12,8391.99,2341.8,2242.6,117.12
libxml2_exp1,three-Mutants,13.36,76.81,8.46,13.36,76.81,0.0,1545.51,2.29,2.95,7.98,0.06,5101.52,1427.31,2242.6,117.12
libxml2_exp1,one-mutants,13.36,76.81,8.46,13.36,76.81,0.0,518.8,0.77,1.0,3.01,0.03,1710.47,479.07,2242.6,117.12
opencv_features2d_exp1,allfails-ten-Mutants,2.0,56.5,3.2,2.0,56.5,0.0,3835.98,7.78,9.14,3.0,0.03,16942.07,32689.51,478.77,22.35
opencv_features2d_exp1,ten-Mutants,2.0,56.5,3.2,2.0,56.5,0.0,1158.1,7.92,5.53,1.99,0.03,5143.0,9868.21,478.77,22.35
opencv_features2d_exp1,five-Mutants,2.0,56.5,3.2,2.0,56.5,0.0,649.35,4.42,3.03,1.09,0.01,2880.82,5533.67,478.77,22.35
opencv_features2d_exp1,three-Mutants,2.0,56.5,3.2,2.0,56.5,0.0,393.83,2.69,1.83,0.73,0.0,1746.59,3356.23,478.77,22.35
opencv_features2d_exp1,one-mutants,2.0,56.5,3.2,2.0,56.5,0.0,131.81,0.9,0.61,0.2,0.0,584.0,1123.34,478.77,22.35
opencv_imgproc_exp1,allfails-ten-Mutants,2.43,96.79,0.65,2.43,96.79,0.0,1378.04,6.82,8.8,2.95,0.0,14625.49,12257.57,199.08,13.86
opencv_imgproc_exp1,ten-Mutants,2.43,96.79,0.65,2.43,96.79,0.0,417.27,6.97,4.68,1.93,0.0,4362.24,3714.39,199.08,13.86
opencv_imgproc_exp1,five-Mutants,2.43,96.79,0.65,2.43,96.79,0.0,233.66,3.89,2.6,0.98,0.0,2437.55,2079.88,199.08,13.86
opencv_imgproc_exp1,three-Mutants,2.43,96.79,0.65,2.43,96.79,0.0,143.63,2.39,1.59,0.55,0.0,1496.1,1278.29,199.08,13.86
opencv_imgproc_exp1,one-mutants,2.43,96.79,0.65,2.43,96.79,0.0,48.38,0.81,0.53,0.22,0.0,502.61,430.56,199.08,13.86
opencv_core_exp1,allfails-ten-Mutants,16.71,273.12,8.05,16.71,273.12,0.0,5142.56,5.3,8.43,28.56,0.0,65943.63,103195.94,971.84,123.99
opencv_core_exp1,ten-Mutants,16.71,273.12,8.05,16.71,273.12,0.0,1585.49,5.5,8.07,28.5,0.0,20431.92,31893.16,971.84,123.99
opencv_core_exp1,five-Mutants,16.71,273.12,8.05,16.71,273.12,0.0,938.84,3.26,4.41,14.96,0.0,12071.02,18867.13,971.84,123.99
opencv_core_exp1,three-Mutants,16.71,273.12,8.05,16.71,273.12,0.0,589.67,2.05,2.69,10.46,0.0,7569.14,11849.32,971.84,123.99
opencv_core_exp1,one-mutants,16.71,273.12,8.05,16.71,273.12,0.0,200.26,0.7,0.9,2.31,0.0,2565.2,4025.24,971.84,123.99
jsoncpp_exp1,allfails-ten-Mutants,6.39,116.19,2.14,6.39,116.19,0.0,2205.47,4.95,8.01,10.4,0.0,5169.71,993.81,437.05,78.8
jsoncpp_exp1,ten-Mutants,6.39,116.19,2.14,6.39,116.19,0.0,666.64,5.13,8.01,10.4,0.0,1568.59,300.32,437.05,78.8
jsoncpp_exp1,five-Mutants,6.39,116.19,2.14,6.39,116.19,0.0,424.13,3.26,4.81,5.76,0.0,992.38,191.07,437.05,78.8
jsoncpp_exp1,three-Mutants,6.39,116.19,2.14,6.39,116.19,0.0,275.72,2.12,2.98,3.53,0.0,642.75,124.23,437.05,78.8
jsoncpp_exp1,one-mutants,6.39,116.19,2.14,6.39,116.19,0.0,95.85,0.74,1.0,1.43,0.0,222.62,43.19,437.05,78.8
