subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10
zlib_ng_exp1,allfails-ten-Mutants,63.77,81.34,97.2,100.0
zlib_ng_exp1,ten-Mutants,56.02,77.36,96.75,100.0
zlib_ng_exp1,five-Mutants,53.68,76.45,96.82,100.0
zlib_ng_exp1,three-Mutants,50.22,73.46,96.75,100.0
zlib_ng_exp1,one-mutants,52.68,75.45,96.62,100.0
libxml2_exp1,allfails-ten-Mutants,83.25,91.3,93.75,97.67
libxml2_exp1,ten-Mutants,83.33,91.52,94.05,97.8
libxml2_exp1,five-Mutants,83.59,92.08,92.11,95.6
libxml2_exp1,three-Mutants,83.46,91.82,90.26,93.71
libxml2_exp1,one-mutants,82.55,91.6,80.04,91.08
opencv_features2d_exp1,allfails-ten-Mutants,80.69,91.52,83.71,94.83
opencv_features2d_exp1,ten-Mutants,76.36,89.61,82.76,91.77
opencv_features2d_exp1,five-Mutants,75.37,89.26,73.79,85.52
opencv_features2d_exp1,three-Mutants,75.67,89.35,65.91,83.79
opencv_features2d_exp1,one-mutants,75.67,89.26,55.0,78.15
opencv_imgproc_exp1,allfails-ten-Mutants,78.61,90.39,74.01,86.85
opencv_imgproc_exp1,ten-Mutants,60.56,80.0,57.63,80.47
opencv_imgproc_exp1,five-Mutants,58.31,79.09,52.46,69.96
opencv_imgproc_exp1,three-Mutants,59.0,79.91,46.16,64.57
opencv_imgproc_exp1,one-mutants,58.66,79.78,43.1,62.93
opencv_core_exp1,allfails-ten-Mutants,79.74,91.26,61.64,68.19
opencv_core_exp1,ten-Mutants,82.64,92.68,61.21,67.5
opencv_core_exp1,five-Mutants,82.68,92.64,62.93,69.05
opencv_core_exp1,three-Mutants,80.69,92.38,54.96,63.62
opencv_core_exp1,one-mutants,72.94,88.1,47.89,56.12
jsoncpp_exp1,allfails-ten-Mutants,81.99,91.86,94.83,99.78
jsoncpp_exp1,ten-Mutants,86.23,94.29,95.39,99.96
jsoncpp_exp1,five-Mutants,85.54,94.2,92.97,99.83
jsoncpp_exp1,three-Mutants,83.12,93.12,89.74,99.22
jsoncpp_exp1,one-mutants,81.69,91.86,85.3,96.72
