buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_funcs_executed_by_failing_TCs,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
onnx_importer.MUT398.cpp,21,2851,0,0,1,2873,1865,12408,1883,12469,14008,0.8901342090234152,0.8901342090234152,0,0,167,167,1865,0,0,1050,63
tf_graph_simplifier.MUT516.cpp,5,2868,0,0,0,2873,2375,12493,0,12526,14008,0.8942033123929183,0.8942033123929183,0,0,201,201,2375,0,0,1050,63
tf_graph_simplifier.MUT264.cpp,1,2872,0,0,0,2873,1043,12533,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,91,91,1043,0,0,1050,63
convolution_layer.MUT60.cpp,8,2226,0,0,639,2873,1593,11843,6746,12540,14008,0.895202741290691,0.8478726442033124,0,0,150,150,1593,0,0,1050,63
attention_layer.MUT5.cpp,2,2871,0,0,0,2873,1424,12434,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,128,128,1424,0,0,1050,63
darknet_io.MUT296.cpp,1,2872,0,0,0,2873,173,12526,0,12538,14008,0.8950599657338664,0.8950599657338664,0,0,16,16,173,0,0,1050,63
onnx_graph_simplifier.MUT511.cpp,3,2870,0,0,0,2873,1437,12503,0,12541,14008,0.8952741290691034,0.8952741290691034,0,0,139,139,1437,0,0,1050,63
pooling_layer.MUT191.cpp,81,2518,0,0,274,2873,5796,11761,4998,12542,14008,0.8953455168475157,0.8853512278697887,0,0,493,493,5796,0,0,1050,63
attention_layer.MUT11.cpp,3,2870,0,0,0,2873,1217,12326,0,12404,14008,0.8854940034266133,0.8854940034266133,0,0,115,115,1217,0,0,1050,63
onnx_graph_simplifier.MUT516.cpp,3,2870,0,0,0,2873,1439,12503,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,139,139,1439,0,0,1050,63
gemm_layer.MUT15.cpp,23,2850,0,0,0,2873,3726,12401,0,12456,13982,0.8908596767272207,0.8908596767272207,0,0,333,333,3726,0,0,1050,63
tf_importer.MUT754.cpp,2,2871,0,0,0,2873,687,12516,0,12519,14008,0.893703597944032,0.893703597944032,0,0,68,68,687,0,0,1050,63
nary_eltwise_layers.MUT130.cpp,42,2818,0,0,13,2873,5151,12313,4002,12537,14008,0.8949885779554541,0.8924186179326099,0,0,443,443,5151,0,0,1050,63
fast_norm.MUT54.cpp,10,2854,0,0,6,2870,1071,12490,1071,12543,14009,0.8953529873652651,0.8953529873652651,0,0,105,105,1071,0,0,1050,63
elementwise_layers.MUT500.cpp,1,2838,0,0,34,2873,1097,12476,1198,12527,14009,0.8942108644442858,0.8927118281105004,0,0,100,100,1097,0,0,1050,63
tf_graph_simplifier.MUT278.cpp,142,2729,0,0,2,2873,2771,10953,360,11256,14008,0.8035408338092519,0.8035408338092519,0,0,239,239,2771,0,0,1050,63
permute_layer.MUT53.cpp,12,2817,0,0,9,2838,3265,11848,3608,12208,14008,0.8715019988577956,0.8640062821245003,0,0,283,283,3265,0,0,1050,63
onnx_importer.MUT715.cpp,1,2856,0,0,0,2857,818,12522,0,12535,14008,0.8948458023986293,0.8948458023986293,0,0,90,90,818,0,0,1050,63
net_quantization.MUT118.cpp,10,2863,0,0,0,2873,4763,12503,0,12544,14008,0.8954882924043404,0.8954882924043404,0,0,404,404,4763,0,0,1050,63
onnx_importer.MUT1522.cpp,5,2868,0,0,0,2873,1515,12430,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,152,152,1515,0,0,1050,63
concat_layer.MUT32.cpp,21,2852,0,0,0,2873,4002,12415,0,12512,14008,0.8932038834951457,0.8932038834951457,0,0,361,361,4002,0,0,1050,63
tf_graph_simplifier.MUT111.cpp,2,2729,0,0,142,2873,1018,10953,6839,12531,14008,0.89456025128498,0.826527698458024,0,0,91,91,1018,0,0,1050,63
onnx_importer.MUT1628.cpp,1,2872,0,0,0,2873,1094,12526,0,12530,14008,0.8944888635065676,0.8944888635065676,0,0,107,107,1094,0,0,1050,63
elementwise_layers.MUT233.cpp,2,2871,0,0,0,2873,978,12537,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,103,103,978,0,0,1050,63
proposal_layer.MUT13.cpp,1,2872,0,0,0,2873,642,12404,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,53,53,642,0,0,1050,63
tf_importer.MUT1197.cpp,22,2725,0,0,126,2873,4857,10845,6626,12520,14003,0.8940941226879954,0.8428193958437478,0,0,433,433,4857,0,0,1050,63
proposal_layer.MUT26.cpp,1,2872,0,0,0,2873,642,12404,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,53,53,642,0,0,1050,63
prior_box_layer.MUT115.cpp,3,2870,0,0,0,2873,709,12260,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,56,56,709,0,0,1050,63
recurrent_layers.MUT93.cpp,16,2853,0,0,2,2871,2371,12060,207,12458,14008,0.8893489434608794,0.8823529411764706,0,0,202,202,2371,0,0,1050,63
fast_norm.MUT90.cpp,7,2866,0,0,0,2873,2111,12451,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,214,214,2111,0,0,1050,63
nary_eltwise_layers.MUT176.cpp,9,2864,0,0,0,2873,3632,12483,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,325,325,3632,0,0,1050,63
resize_layer.MUT56.cpp,4,2869,0,0,0,2873,2520,12512,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,228,228,2520,0,0,1050,63
net_quantization.MUT121.cpp,13,2835,0,0,25,2873,4615,12216,4657,12545,14008,0.8955596801827527,0.8890633923472302,0,0,399,399,4615,0,0,1050,63
pooling_layer.MUT368.cpp,1,2872,0,0,0,2873,504,12491,0,12539,14008,0.8951313535122787,0.8951313535122787,0,0,39,39,504,0,0,1050,63
onnx_graph_simplifier.MUT447.cpp,2,2310,0,0,561,2873,1945,7870,9518,12533,14008,0.8947030268418047,0.642204454597373,0,0,181,181,1945,0,0,1050,63
tf_importer.MUT1141.cpp,32,2808,0,0,33,2873,4858,12146,5177,12542,14008,0.8953455168475157,0.8889920045688178,0,0,419,419,4858,0,0,1050,63
pooling_layer.MUT423.cpp,26,2547,0,0,300,2873,3818,12175,5276,12527,14009,0.8942108644442858,0.8846455849810836,0,0,346,346,3818,0,0,1050,63
onnx_graph_simplifier.MUT581.cpp,562,2310,0,0,1,2873,3542,7870,288,8212,14008,0.5862364363221017,0.5862364363221017,0,0,286,286,3542,0,0,1050,63
correlation_layer.MUT75.cpp,1,2872,0,0,0,2873,426,12437,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,34,34,426,0,0,1050,63
onnx_importer.MUT339.cpp,1,2872,0,0,0,2873,1135,12535,0,12536,14008,0.8949171901770417,0.8949171901770417,0,0,110,110,1135,0,0,1050,63
permute_layer.MUT4.cpp,7,2794,0,0,72,2873,3655,11643,6591,12538,14008,0.8950599657338664,0.8438035408338093,0,0,330,330,3655,0,0,1050,63
layers_common.MUT62.cpp,703,2170,0,0,0,2873,5108,11418,0,11973,14008,0.8547258709308966,0.8547258709308966,0,0,431,431,5108,0,0,1050,63
scatterND_layer.MUT43.cpp,1,2868,0,0,4,2873,1045,12457,1071,12538,14008,0.8950599657338664,0.8938463735008566,0,0,106,106,1045,0,0,1050,63
onnx_importer.MUT1076.cpp,4,2869,0,0,0,2873,2081,12522,0,12526,14008,0.8942033123929183,0.8942033123929183,0,0,194,194,2081,0,0,1050,63
onnx_importer.MUT469.cpp,15,2858,0,0,0,2873,1647,12322,0,12442,14008,0.8882067390062821,0.8882067390062821,0,0,143,143,1647,0,0,1050,63
einsum_layer.MUT291.cpp,2,2864,0,0,0,2866,1047,12325,0,12340,14008,0.8809251856082239,0.8809251856082239,0,0,97,97,1047,0,0,1050,63
einsum_layer.MUT289.cpp,13,2860,0,0,0,2873,1152,12118,0,12243,14008,0.8740005711022273,0.8740005711022273,0,0,112,112,1152,0,0,1050,63
slice_layer.MUT16.cpp,1,2872,0,0,0,2873,1312,12523,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,124,124,1312,0,0,1050,63
tf_importer.MUT291.cpp,52,2812,0,0,9,2873,5123,12254,3028,12535,14008,0.8948458023986293,0.8938463735008566,0,0,441,441,5123,0,0,1050,63
resize_layer.MUT9.cpp,3,2843,0,0,27,2873,2838,12155,4065,12542,14008,0.8953455168475157,0.8854940034266133,0,0,258,258,2838,0,0,1050,63
scatter_layer.MUT34.cpp,8,2865,0,0,0,2873,1072,12463,0,12540,14008,0.895202741290691,0.895202741290691,0,0,106,106,1072,0,0,1050,63
slice_layer.MUT60.cpp,12,2861,0,0,0,2873,1272,12487,0,12500,14009,0.8922835320151331,0.8922835320151331,0,0,120,120,1272,0,0,1050,63
recurrent_layers.MUT72.cpp,19,2854,0,0,0,2873,2224,12235,0,12437,14009,0.8877864230137769,0.8877864230137769,0,0,190,190,2224,0,0,1050,63
pooling_layer.MUT221.cpp,3,2870,0,0,0,2873,2792,12521,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,255,255,2792,0,0,1050,63
accum_layer.MUT15.cpp,1,2872,0,0,0,2873,453,12474,0,12541,14007,0.8953380452630827,0.8953380452630827,0,0,36,36,453,0,0,1050,63
convolution_layer.MUT187.cpp,4,2869,0,0,0,2873,3592,12536,0,12542,14008,0.8953455168475157,0.8953455168475157,0,0,333,333,3592,0,0,1050,63
