buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs,#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_funcs_executed_by_failing_TCs,#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
onnx_importer.MUT1285.cpp,14,2853,0,0,6,2873,1208,12431,1070,12541,14008,0.8952741290691034,0.8916333523700742,116,0,0,116,1208,0,0,1050,63
nary_eltwise_layers.MUT291.cpp,3,2870,0,0,0,2873,1534,12534,0,12542,14008,0.8953455168475157,0.8953455168475157,164,0,0,164,1534,0,0,1050,63
einsum_layer.MUT100.cpp,13,2860,0,0,0,2873,1047,12118,0,12154,14008,0.8676470588235294,0.8676470588235294,102,0,0,102,1047,0,0,1050,63
nary_eltwise_layers.MUT187.cpp,3,2866,0,0,4,2873,378,12513,3619,12542,14008,0.8953455168475157,0.8935608223872074,28,0,0,28,378,0,0,1050,63
region_layer.MUT9.cpp,1,2872,0,0,0,2873,557,12432,0,12518,14008,0.8936322101656197,0.8936322101656197,42,0,0,42,557,0,0,1050,63
reshape_layer.MUT50.cpp,3,2793,0,0,77,2873,456,11684,6828,12541,14008,0.8952741290691034,0.8370217018846373,44,0,0,44,456,0,0,1050,63
torch_importer.MUT140.cpp,1,2847,0,0,25,2873,477,12049,2279,12549,14008,0.895845231296402,0.8790691033695032,40,0,0,40,477,0,0,1050,63
onnx_importer.MUT773.cpp,1,2870,0,0,0,2871,1731,12517,0,12542,14008,0.8953455168475157,0.8953455168475157,168,0,0,168,1731,0,0,1050,63
tf_importer.MUT195.cpp,4,2869,0,0,0,2873,1492,12516,0,12542,14008,0.8953455168475157,0.8953455168475157,129,0,0,129,1492,0,0,1050,63
onnx_importer.MUT631.cpp,1,2869,0,0,2,2872,1044,12524,1338,12538,14008,0.8950599657338664,0.8949171901770417,111,0,0,111,1044,0,0,1050,63
recurrent_layers.MUT42.cpp,18,2853,0,0,2,2873,1668,12060,2100,12465,14008,0.8898486579097659,0.872430039977156,148,0,0,148,1668,0,0,1050,63
darknet_io.MUT175.cpp,1,2872,0,0,0,2873,361,12519,0,12539,14008,0.8951313535122787,0.8951313535122787,24,0,0,24,361,0,0,1050,63
mvn_layer.MUT3.cpp,6,2867,0,0,0,2873,1877,12424,0,12541,14008,0.8952741290691034,0.8952741290691034,181,0,0,181,1877,0,0,1050,63
elementwise_layers.MUT490.cpp,3,2838,0,0,32,2873,1045,12524,823,12542,14008,0.8953455168475157,0.8953455168475157,111,0,0,111,1045,0,0,1050,63
nary_eltwise_layers.MUT339.cpp,3,2857,0,0,0,2860,1767,12496,0,12535,14008,0.8948458023986293,0.8948458023986293,175,0,0,175,1767,0,0,1050,63
convolution_layer.MUT386.cpp,7,2818,0,0,48,2873,2745,12254,467,12542,14008,0.8953455168475157,0.8953455168475157,260,0,0,260,2745,0,0,1050,63
eltwise_layer.MUT66.cpp,3,2483,0,0,387,2873,1950,12330,3247,12543,14009,0.8953529873652651,0.8847169676636448,164,0,0,164,1950,0,0,1050,63
