subject,method_name,mlp_test_acc5,mlp_test_acc10,mlp_self_acc5,mlp_self_acc10,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs,avg_num_utilized_mutants_overall,avg_mut_cnt_buggy_line,avg_f2p_buggy_line,avg_p2f_buggy_line,avg_num_ccts,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff,naish2_acc5,naish2_acc10,avg_line_top_perc
zlib_ng_TF_top30,withCCTs,58.92,79.39,98.73,100.0,47.94,4.05,168.46,6.95,42.04,18.85,6.5,97.47,98.73,98.73,98.73,0.73,0.0,100.0,100.0,52.0
zlib_ng_TF_top30,withoutCCTs,56.1,78.4,98.67,100.0,47.94,4.05,167.52,6.92,42.09,18.85,6.5,97.47,98.1,98.1,98.1,0.74,1.36,100.0,100.0,52.0
libxml2_TF_top30,withCCTs,85.28,93.07,93.98,98.56,2337.66,119.69,7664.85,8.43,23.97,0.08,7.58,75.42,77.97,72.88,78.81,13.98,0.0,72.03,85.17,52.52
libxml2_TF_top30,withoutCCTs,84.76,92.08,88.64,95.17,2337.66,119.69,7662.61,8.43,23.97,0.08,7.58,75.85,77.54,71.19,77.12,14.7,5.16,72.03,85.17,52.52
opencv_features2d_TF_top30,withCCTs,78.4,89.7,82.5,94.0,467.12,21.7,1878.6,6.92,2.21,0.07,2.69,61.25,84.17,72.5,89.17,6.41,0.0,30.0,77.08,54.47
opencv_features2d_TF_top30,withoutCCTs,68.74,86.54,72.37,89.0,467.12,21.7,1902.36,5.56,2.07,0.06,2.69,60.42,80.0,71.25,83.75,6.83,6.59,30.0,77.08,54.47
opencv_imgproc_TF_top30,withCCTs,63.42,83.03,66.81,83.62,195.48,13.34,676.75,6.19,3.03,0.07,0.67,66.81,75.86,69.83,77.59,4.51,0.0,40.95,56.47,53.47
opencv_imgproc_TF_top30,withoutCCTs,64.07,83.12,71.81,86.34,195.48,13.34,676.77,5.97,2.93,0.03,0.67,66.38,73.71,75.43,81.47,4.54,0.54,40.95,56.47,53.47
opencv_core_TF_top30,withCCTs,78.66,89.78,59.87,65.95,969.56,124.24,2832.79,8.69,29.66,5.22,10.64,69.4,70.69,68.53,75.86,33.47,0.0,43.53,54.74,52.7
opencv_core_TF_top30,withoutCCTs,82.81,93.2,57.76,65.17,969.56,124.24,2834.95,8.61,29.63,5.22,10.64,68.53,69.83,67.24,75.0,34.19,2.15,43.53,54.74,52.7
jsoncpp_TF_top30,withCCTs,82.47,91.43,95.43,99.05,430.88,77.91,1089.22,8.35,12.66,0.83,3.27,67.67,68.97,77.59,91.38,1.16,0.0,77.59,91.81,48.15
jsoncpp_TF_top30,withoutCCTs,82.64,92.64,89.48,95.73,430.88,77.91,1089.35,8.31,12.66,0.83,3.27,67.24,68.53,78.45,90.95,1.17,1.59,77.59,91.81,48.15
