subject,method,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration
zlib_ng_TF_top30,sbflnaish250-maxMutants-excludeCCT,97.47,98.73,98.73,98.73,0.73
zlib_ng_TF_top30,sbflnaish250-maxMutants-withCCT,97.47,98.1,98.1,98.1,0.74
libxml2_TF_top30,sbflnaish250-maxMutants-excludeCCT,75.42,77.97,72.88,78.81,13.98
libxml2_TF_top30,sbflnaish250-maxMutants-withCCT,75.85,77.54,71.19,77.12,14.7
opencv_features2d_TF_top30,sbflnaish250-maxMutants-excludeCCT,61.25,84.17,72.5,89.17,6.41
opencv_features2d_TF_top30,sbflnaish250-maxMutants-withCCT,60.42,80.0,71.25,83.75,6.83
opencv_imgproc_TF_top30,sbflnaish250-maxMutants-excludeCCT,66.81,75.86,69.83,77.59,4.51
opencv_imgproc_TF_top30,sbflnaish250-maxMutants-withCCT,66.38,73.71,75.43,81.47,4.54
opencv_core_TF_top30,sbflnaish250-maxMutants-excludeCCT,69.4,70.69,68.53,75.86,33.47
opencv_core_TF_top30,sbflnaish250-maxMutants-withCCT,68.53,69.83,67.24,75.0,34.19
jsoncpp_TF_top30,sbflnaish250-maxMutants-excludeCCT,67.67,68.97,77.59,91.38,1.16
jsoncpp_TF_top30,sbflnaish250-maxMutants-withCCT,67.24,68.53,78.45,90.95,1.17
