subject,method_name,avg_num_failing_tcs,avg_num_passing_tcs,avg_num_ccts,avg_num_utilized_failing_tcs,avg_num_utilized_passing_tcs,avg_num_utilized_ccts,avg_num_utilized_mutants,avg_num_utilized_mutants_per_line,avg_buggy_line_mut_cnt,avg_buggy_line_f2p,avg_buggy_line_p2f,avg_total_mut_build_time,avg_total_tcs_exec_time,avg_num_lines_executed_by_failing_tcs,avg_num_funcs_executed_by_failing_tcs
zlib_ng_exp1,withoutCCTs,24.36,733.24,8.85,24.36,733.24,0.0,3.91,0.81,0.47,2.59,1.18,2.35,33.16,50.74,4.29
zlib_ng_exp1,withCCTs,24.36,733.24,8.85,24.36,733.24,8.85,3.87,0.79,0.45,3.39,2.8,2.35,33.7,50.74,4.29
libxml2_exp1,withoutCCTs,13.36,76.81,8.46,13.36,76.81,0.0,173.97,0.78,0.97,2.45,0.04,605.22,160.56,2242.6,117.12
libxml2_exp1,withCCTs,13.36,76.81,8.46,13.36,76.81,8.46,173.91,0.78,0.9,2.24,2.03,604.36,176.1,2242.6,117.12
opencv_features2d_exp1,withoutCCTs,2.0,56.5,3.2,2.0,56.5,0.0,43.64,0.9,0.32,0.12,0.0,193.32,371.82,478.77,22.35
opencv_features2d_exp1,withCCTs,2.0,56.5,3.2,2.0,56.5,3.2,44.39,0.91,0.25,0.08,0.1,195.81,416.27,478.77,22.35
opencv_imgproc_exp1,withoutCCTs,2.43,96.79,0.65,2.43,96.79,0.0,15.78,0.81,0.26,0.12,0.0,163.28,140.33,199.08,13.86
opencv_imgproc_exp1,withCCTs,2.43,96.79,0.65,2.43,96.79,0.65,15.94,0.81,0.22,0.09,0.03,164.44,143.29,199.08,13.86
opencv_core_exp1,withoutCCTs,16.71,273.12,8.05,16.71,273.12,0.0,67.22,0.71,0.69,2.0,0.0,852.9,1351.38,971.84,123.99
opencv_core_exp1,withCCTs,16.71,273.12,8.05,16.71,273.12,8.05,67.42,0.71,0.67,4.1,1.74,855.61,1391.32,971.84,123.99
jsoncpp_exp1,withoutCCTs,6.39,116.19,2.14,6.39,116.19,0.0,33.51,0.79,0.94,2.19,0.0,78.22,15.11,437.05,78.8
jsoncpp_exp1,withCCTs,6.39,116.19,2.14,6.39,116.19,2.14,33.5,0.79,0.9,1.31,0.54,78.1,15.39,437.05,78.8
