subject,method_name,met_acc5,met_acc10,muse_acc5,muse_acc10,avg_time_duration,rel_time_diff
zlib_ng_exp1,withoutCCTs,87.26,87.26,87.26,87.26,0.01,0.0
zlib_ng_exp1,withCCTs,81.53,81.53,81.53,81.53,0.01,1.51
libxml2_exp1,withoutCCTs,45.26,56.47,46.12,62.07,0.21,0.0
libxml2_exp1,withCCTs,45.26,52.16,45.26,62.5,0.22,1.92
opencv_features2d_exp1,withoutCCTs,56.9,72.41,56.9,72.41,0.16,0.0
opencv_features2d_exp1,withCCTs,46.55,54.74,48.28,55.17,0.17,8.31
opencv_imgproc_exp1,withoutCCTs,45.26,78.02,45.69,78.45,0.08,0.0
opencv_imgproc_exp1,withCCTs,44.4,78.88,48.71,79.31,0.09,1.36
opencv_core_exp1,withoutCCTs,33.62,43.1,35.78,49.14,0.61,0.0
opencv_core_exp1,withCCTs,39.22,48.28,41.81,55.6,0.62,1.93
jsoncpp_exp1,withoutCCTs,43.1,77.16,66.38,95.69,0.03,0.0
jsoncpp_exp1,withCCTs,40.95,75.0,63.79,94.83,0.03,0.17
