subject,method_name,naish2_acc5,naish2_acc10,avg_line_top_perc
zlib_ng_exp1,withoutCCTs,100.0,100.0,47.29
zlib_ng_exp1,withCCTs,100.0,100.0,47.29
libxml2_exp1,withoutCCTs,71.12,86.64,52.08
libxml2_exp1,withCCTs,71.55,84.48,52.08
opencv_features2d_exp1,withoutCCTs,28.02,64.22,42.51
opencv_features2d_exp1,withCCTs,33.19,79.31,42.51
opencv_imgproc_exp1,withoutCCTs,34.05,48.28,50.74
opencv_imgproc_exp1,withCCTs,38.36,53.02,50.74
opencv_core_exp1,withoutCCTs,45.69,55.17,52.35
opencv_core_exp1,withCCTs,45.26,56.47,52.35
jsoncpp_exp1,withoutCCTs,81.47,95.69,52.09
jsoncpp_exp1,withCCTs,81.9,95.26,52.09
